Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.300926;[0.528514,-2.36243,-0.705994]
5;0.578704;[0.112289,-4.31688,0.799649]
6;0.49537;[-0.36229,-5.41011,-0.526631]
7;0.513889;[0.140446,-6.20254,-0.652604]
8;0.574074;[0.632455,-6.52973,-0.638942]
9;0.513889;[-0.491331,-6.8347,-0.740562]
10;0.62037;[0.123716,-7.98617,-0.109894]
11;0.490741;[0.644451,-8.66139,-0.0784747]
12;0.569444;[0.314049,-8.60791,0.0986178]
13;0.606481;[0.123504,-9.4362,0.0895869]
14;0.583333;[-0.483713,-9.15798,0.450589]
15;0.634259;[0.416814,-9.715,0.304661]
16;0.62963;[0.634965,-10.3618,-0.113967]
17;0.680556;[0.502092,-10.0361,-0.200906]
18;0.62037;[0.536697,-10.7502,-0.476613]
19;0.611111;[0.143438,-10.2034,-0.285489]
20;0.597222;[-0.160972,-11.2569,0.440997]
21;0.671296;[-0.289549,-10.8163,0.438516]
22;0.583333;[-0.117521,-11.0348,0.243271]
23;0.583333;[0.0183843,-11.1078,-0.326602]
24;0.648148;[-0.00514518,-10.8736,-0.337644]
25;0.625;[0.0569685,-11.0786,-0.0311646]
26;0.638889;[-0.71419,-11.1796,-0.283541]
27;0.574074;[0.535604,-11.1562,0.230201]
28;0.625;[-0.5188,-10.3328,0.544389]
29;0.587963;[0.346596,-11.1301,0.228924]
30;0.62963;[0.125216,-10.7166,0.506458]
31;0.592593;[-0.440245,-10.3075,-0.343124]
32;0.587963;[0.591808,-10.3109,0.298737]
33;0.578704;[0.252207,-10.0362,0.0267758]
34;0.615741;[0.0259441,-10.0414,-0.119143]
35;0.532407;[-0.0854498,-9.79204,-0.00595726]
36;0.587963;[0.487501,-8.66032,-0.55704]
37;0.532407;[0.152523,-8.40678,0.948121]
38;0.50463;[0.281713,-7.89922,-0.883195]
39;0.532407;[-0.166011,-8.22871,-0.0215015]
40;0.5;[0.36346,-6.19594,0.54018]
41;0.564815;[-0.521101,-5.74874,-0.628902]
42;0.523148;[0.139354,-6.03355,0.276476]
43;0.652778;[-0.615395,-4.33219,0.81419]
44;0.0555556;[0.893675,-5.76351,-2.22336]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
