Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.310185;[0.510395,-4.13022,0.243457]
5;0.615741;[-0.201421,-4.56386,-0.305661]
6;0.532407;[0.385581,-5.40378,0.69037]
7;0.574074;[0.0193936,-6.23056,-0.0576429]
8;0.5;[-0.681031,-7.71103,0.380457]
9;0.532407;[-0.306596,-8.0566,0.0311713]
10;0.587963;[0.284269,-7.78214,-0.293343]
11;0.486111;[0.162901,-9.03654,0.189062]
12;0.578704;[0.274726,-8.38585,-0.021695]
13;0.546296;[-0.0195874,-8.79836,-0.0644581]
14;0.615741;[0.161678,-9.6805,0.37597]
15;0.537037;[-0.336784,-10.0793,0.41409]
16;0.615741;[0.680139,-10.6151,0.225833]
17;0.606481;[-0.422625,-10.1147,0.248597]
18;0.578704;[-0.312916,-11.0259,0.124957]
19;0.638889;[-0.277656,-10.6662,-0.160547]
20;0.578704;[-0.670121,-10.5006,0.0182104]
21;0.611111;[-0.418147,-10.3062,-0.322059]
22;0.601852;[0.0673649,-11.1996,0.464644]
23;0.675926;[0.29928,-11.2261,0.185029]
24;0.583333;[0.311872,-11.1748,0.468013]
25;0.638889;[0.036866,-11.0555,-0.484556]
26;0.601852;[0.365527,-11.1179,-0.305454]
27;0.555556;[0.0166706,-10.8552,0.296785]
28;0.657407;[0.130428,-11.3763,-0.143221]
29;0.601852;[-0.115886,-11.3564,0.264524]
30;0.671296;[-0.0862857,-10.2184,-0.471347]
31;0.62037;[0.124584,-10.4229,-0.07282]
32;0.601852;[-0.244004,-9.72766,-0.60124]
33;0.638889;[0.44132,-9.74457,0.00172921]
34;0.537037;[-0.294545,-9.43792,-0.439443]
35;0.555556;[0.496406,-9.27238,-0.0206292]
36;0.592593;[-0.118887,-8.49925,0.592459]
37;0.537037;[-0.578489,-8.15547,-0.162782]
38;0.574074;[0.100804,-7.3527,-0.411096]
39;0.537037;[-0.0546335,-6.98607,0.807611]
40;0.569444;[-0.302648,-7.01095,0.407093]
41;0.532407;[0.413098,-6.15518,-0.0111452]
42;0.518519;[-0.775133,-4.49247,-0.472225]
43;0.62037;[-0.31211,-4.49932,-0.218167]
44;0.0787037;[0.502097,-5.1573,-0.625474]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
