Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.282407;[-0.539324,-3.34278,0.331571]
5;0.509259;[1.14768,-4.24582,0.144354]
6;0.592593;[-0.393216,-5.63357,-0.545474]
7;0.537037;[-0.922106,-6.00529,0.732397]
8;0.541667;[0.834174,-6.62785,-0.62711]
9;0.523148;[0.307853,-7.64604,0.01866]
10;0.513889;[-0.537784,-7.40923,0.169282]
11;0.560185;[-0.446426,-7.72687,0.0351198]
12;0.606481;[0.178927,-8.08997,0.42405]
13;0.587963;[0.0772714,-9.36353,0.635124]
14;0.578704;[0.113101,-9.34613,0.578252]
15;0.574074;[0.599504,-9.46202,-0.00453461]
16;0.592593;[-0.0428727,-10.3254,-0.0524435]
17;0.625;[0.353982,-10.4541,-0.211805]
18;0.574074;[0.407814,-11.4992,0.633425]
19;0.657407;[0.289116,-10.5422,-0.0922247]
20;0.652778;[0.211502,-11.4285,-0.502207]
21;0.601852;[-0.37605,-10.7506,0.512221]
22;0.611111;[0.348392,-11.3139,0.439088]
23;0.587963;[-0.0472,-10.4924,-0.0235105]
24;0.648148;[-0.435231,-11.8663,0.407329]
25;0.574074;[0.551688,-10.4312,-0.214005]
26;0.643519;[-0.301624,-11.1316,-0.284785]
27;0.648148;[0.274085,-11.5035,-0.0839879]
28;0.625;[0.459509,-11.1794,0.433526]
29;0.611111;[0.200726,-10.4163,-0.306962]
30;0.569444;[-0.0492883,-11.0541,0.323024]
31;0.569444;[0.67368,-9.98923,-0.422558]
32;0.564815;[-0.363596,-10.8504,0.0746725]
33;0.662037;[-0.706859,-9.86654,0.476208]
34;0.523148;[-0.703221,-8.70429,-0.0343495]
35;0.648148;[-0.416806,-8.91001,-0.323041]
36;0.597222;[0.297572,-8.72733,-0.267859]
37;0.592593;[0.517035,-8.68197,-0.280132]
38;0.550926;[0.785882,-7.4091,0.247582]
39;0.532407;[0.118532,-7.51151,-0.220807]
40;0.537037;[-0.337995,-7.76687,0.931818]
41;0.550926;[0.159713,-6.07891,-0.232104]
42;0.5;[0.118553,-4.67509,-0.708333]
43;0.643519;[-0.286426,-4.50129,0.491342]
44;0.0462963;[-0.881094,-2.15657,-1.36718]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
