Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.314815;[-0.974631,-3.45043,0.521135]
5;0.527778;[-0.298152,-4.47036,-0.307392]
6;0.50463;[-0.055851,-5.34024,-0.665137]
7;0.490741;[0.80354,-6.08897,-0.221117]
8;0.601852;[-0.563979,-7.68078,0.0487946]
9;0.550926;[0.744024,-7.12857,0.0772195]
10;0.587963;[-0.0134543,-7.71975,-0.100561]
11;0.541667;[0.783127,-8.2057,-0.358557]
12;0.583333;[0.779167,-8.57492,0.0150823]
13;0.592593;[-0.501001,-9.0001,-0.472931]
14;0.560185;[0.576577,-9.85336,-0.346949]
15;0.587963;[-0.396819,-10.5463,0.107095]
16;0.611111;[-0.326819,-10.4169,-0.147197]
17;0.671296;[-0.57296,-10.3231,-0.144447]
18;0.541667;[-0.218157,-10.4653,0.210541]
19;0.62037;[0.256492,-10.4003,0.542581]
20;0.611111;[-0.409224,-11.161,-0.0749287]
21;0.615741;[0.110697,-11.1423,0.0762635]
22;0.62037;[-0.536121,-11.3292,-0.0516433]
23;0.638889;[-0.274071,-10.6482,-0.615891]
24;0.560185;[-0.766024,-11.5013,0.162073]
25;0.657407;[0.150156,-11.0019,0.294124]
26;0.597222;[-0.095797,-10.8179,-0.122237]
27;0.62963;[0.358705,-11.0186,0.393413]
28;0.625;[-0.48018,-11.0667,0.0639297]
29;0.592593;[-0.378651,-11.7413,0.378482]
30;0.62037;[-0.742661,-10.5537,-0.144004]
31;0.643519;[0.408704,-10.5297,-0.819224]
32;0.574074;[0.419308,-10.3607,-0.477385]
33;0.625;[-0.222093,-10.2733,0.052938]
34;0.574074;[-0.0738135,-9.42277,0.114189]
35;0.587963;[-0.437382,-8.48418,-0.575185]
36;0.634259;[-0.238695,-8.97119,0.208372]
37;0.550926;[-0.308829,-8.10902,-0.0725935]
38;0.513889;[0.403079,-7.44199,0.567325]
39;0.592593;[-0.0300068,-7.6029,0.427986]
40;0.486111;[0.264513,-6.93687,0.455079]
41;0.518519;[-0.581256,-5.16234,-0.00982364]
42;0.476852;[0.717444,-5.50785,0.45477]
43;0.643519;[-0.444468,-4.40468,-0.221715]
44;0.0694444;[-0.240692,-4.34544,0.629763]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
