Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.291667;[-0.913411,-4.49071,-0.69875]
5;0.560185;[-0.112615,-4.60652,0.0506443]
6;0.555556;[0.116892,-5.95284,-0.633349]
7;0.453704;[-0.0230122,-6.17731,-0.28532]
8;0.597222;[-0.0134684,-6.74393,-0.210398]
9;0.592593;[-0.384549,-7.27625,-0.374149]
10;0.527778;[0.357524,-8.01829,0.0580195]
11;0.578704;[0.0991572,-8.45705,-0.119428]
12;0.518519;[-0.632237,-8.58433,-0.324239]
13;0.5;[0.0613735,-9.77187,0.623996]
14;0.601852;[-0.511894,-9.599,0.018768]
15;0.569444;[0.42498,-10.1193,-0.0375336]
16;0.648148;[0.115987,-9.80361,0.0973681]
17;0.615741;[-0.135422,-9.81102,0.0676972]
18;0.564815;[-0.328598,-11.2695,-0.0239314]
19;0.606481;[-0.358207,-9.98361,-0.335937]
20;0.62963;[0.277327,-11.3819,-0.210529]
21;0.648148;[0.0604205,-10.6808,-0.106513]
22;0.680556;[0.0137891,-11.4495,-0.0380495]
23;0.592593;[-0.464623,-11.1875,-1]
24;0.657407;[-0.110538,-11.2542,-0.31309]
25;0.643519;[0.222876,-11.2562,0.464079]
26;0.671296;[-0.370882,-11.131,0.0230839]
27;0.564815;[-0.377091,-10.886,0.503493]
28;0.638889;[0.164603,-11.1398,-0.234982]
29;0.625;[0.153078,-10.8673,-0.184354]
30;0.601852;[-0.00306937,-10.6217,0.817218]
31;0.634259;[-0.112051,-10.8517,-0.0963565]
32;0.592593;[-0.748762,-10.2621,0.123044]
33;0.555556;[-1.40147,-9.8777,-0.964164]
34;0.638889;[-0.223981,-10.28,-0.189425]
35;0.541667;[0.928232,-9.05641,0.837406]
36;0.550926;[0.886572,-8.54185,0.121788]
37;0.523148;[-0.601209,-8.39683,-0.192506]
38;0.62037;[0.166073,-8.03038,0.0940739]
39;0.518519;[-0.137256,-7.53905,-0.460977]
40;0.518519;[-0.413242,-6.95122,0.170858]
41;0.537037;[0.278573,-5.24032,0.0838194]
42;0.532407;[-0.287684,-5.77657,-0.323944]
43;0.597222;[-0.327181,-4.20414,0.209947]
44;0.0509259;[5.08235,-1.94694,-0.880219]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
