Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.296296;[0.687801,-5.21812,2.10708]
5;0.513889;[-1.0597,-4.48477,0.508731]
6;0.49537;[-0.148564,-6.44945,0.481303]
7;0.587963;[-0.815065,-6.35119,0.439267]
8;0.509259;[-0.318773,-7.07654,0.357129]
9;0.564815;[0.122902,-7.7495,0.684199]
10;0.5;[-0.0480718,-7.97131,0.305238]
11;0.550926;[-0.298851,-8.37098,0.139917]
12;0.638889;[-0.0267476,-8.75442,-0.527837]
13;0.652778;[-0.0198655,-8.87291,0.456828]
14;0.564815;[0.222875,-9.41215,0.232145]
15;0.601852;[0.218657,-9.65429,-0.30564]
16;0.592593;[-0.753408,-9.70039,-0.182027]
17;0.550926;[0.211733,-10.0184,-0.717585]
18;0.62963;[-0.100682,-10.5245,0.290891]
19;0.532407;[-0.284889,-10.7326,-0.0798652]
20;0.671296;[0.447886,-10.933,-0.25091]
21;0.560185;[0.576681,-10.8391,-0.219891]
22;0.662037;[0.151444,-11.8679,-0.461623]
23;0.62037;[0.277428,-11.7213,0.0038538]
24;0.606481;[0.3272,-11.3426,-0.0637264]
25;0.634259;[-0.0022414,-10.7591,0.0303225]
26;0.606481;[-0.0224964,-11.1805,-0.307323]
27;0.569444;[0.257201,-11.082,-0.718152]
28;0.662037;[0.61246,-11.6319,-0.0285077]
29;0.569444;[-0.532916,-10.4006,-0.262342]
30;0.671296;[-0.52193,-10.3248,-0.231609]
31;0.606481;[0.0412212,-10.486,0.0680991]
32;0.652778;[0.116931,-9.80309,-0.580749]
33;0.569444;[-0.463341,-9.42003,-0.0419456]
34;0.643519;[0.503482,-9.33023,-0.046299]
35;0.509259;[0.0452237,-9.04137,-0.0443721]
36;0.615741;[-0.518919,-8.73145,-0.0211364]
37;0.560185;[0.0152266,-8.93361,0.0223505]
38;0.564815;[0.137647,-8.17033,0.781805]
39;0.546296;[-0.152165,-6.59699,-0.655226]
40;0.523148;[-0.318462,-7.10381,-0.358641]
41;0.546296;[-0.0586153,-5.18583,-0.316108]
42;0.523148;[-0.316712,-4.75586,-0.0492321]
43;0.638889;[-0.179175,-4.93016,0.527659]
44;0.0324074;[-0.187766,-4.35179,1.64018]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
