Bin;Density;Velocity
0;1.66667;[0,0,0]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;0.662037;[0.627021,-193.682,-0.435792]
4;0.532407;[0.594222,-193.497,-0.401669]
5;0.50463;[-0.11254,-194.409,-0.411226]
6;0.546296;[0.918177,-193.339,1.09128]
7;0.555556;[-0.778512,-193.632,0.325062]
8;0.546296;[0.542239,-192.901,0.340304]
9;0.532407;[0.62988,-193.849,-0.122344]
10;0.578704;[-0.887963,-193.64,-0.337956]
11;0.523148;[0.553568,-193.247,0.0982749]
12;0.50463;[-0.864989,-193.14,0.190157]
13;0.578704;[0.809403,-194.824,0.103103]
14;0.569444;[0.120411,-193.189,0.181302]
15;0.574074;[-0.042306,-195.056,0.963959]
16;0.458333;[0.692253,-193.923,1.44369]
17;0.583333;[0.0337101,-193.139,0.603862]
18;0.509259;[-0.932807,-193.424,-0.026171]
19;0.49537;[-0.478145,-194.16,0.855353]
20;0.555556;[0.54322,-193.367,-0.106703]
21;0.486111;[-0.794142,-193.726,0.444532]
22;0.583333;[-0.753248,-194.175,-0.416651]
23;0.597222;[0.154998,-192.97,0.219447]
24;0.555556;[0.283142,-193.158,0.068413]
25;0.550926;[-0.289134,-193.101,0.118162]
26;0.50463;[0.304487,-193.372,-0.307174]
27;0.490741;[-0.311269,-194.092,-0.161614]
28;0.601852;[-0.321188,-194.239,-0.722134]
29;0.532407;[0.797212,-193.852,0.158795]
30;0.481481;[-0.800268,-194.287,0.273582]
31;0.523148;[-0.175941,-192.746,1.30863]
32;0.532407;[-0.220398,-193.374,0.984822]
33;0.546296;[-1.01312,-194.062,0.328195]
34;0.453704;[1.04276,-193.016,-1.29837]
35;0.555556;[-0.380732,-192.746,0.0218626]
36;0.546296;[0.454788,-194.276,0.154348]
37;0.592593;[0.334422,-194.021,0.0755623]
38;0.532407;[0.791831,-193.149,-0.375149]
39;0.560185;[-0.0954198,-193.854,0.238463]
40;0.527778;[-0.516859,-193.511,-0.206087]
41;0.546296;[0.788683,-193.482,0.668208]
42;0.462963;[-0.273625,-192.045,1.51289]
43;0.532407;[-0.582773,-193.336,0.389003]
44;0.601852;[0.922156,-193.176,-0.27122]
45;0.439815;[-0.0168713,-193.624,0.508246]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;1.66667;[0,0,0]
49;0;[-nan,-nan,-nan]
