Bin;Density;Velocity
0;1.66667;[0,0,0]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;0.601852;[0.110838,-297.674,-0.400458]
4;0.541667;[-0.634932,-298.474,-0.41789]
5;0.49537;[-0.525703,-297.414,0.308245]
6;0.583333;[-0.0588273,-297.588,-0.114077]
7;0.486111;[-0.63038,-298.53,0.258618]
8;0.578704;[0.401099,-298.033,-1.36422]
9;0.523148;[-0.828886,-297.683,-0.0566439]
10;0.597222;[-1.54863,-297.572,1.29745]
11;0.5;[0.853007,-297.816,0.0621477]
12;0.490741;[-0.301002,-297.461,-0.0931816]
13;0.560185;[0.104086,-297.872,-1.05386]
14;0.509259;[0.317929,-298.861,-1.52274]
15;0.546296;[0.0614488,-297.746,1.26634]
16;0.597222;[0.524634,-297.898,-0.873453]
17;0.486111;[-0.775576,-299.231,-0.969463]
18;0.532407;[-0.862025,-297.58,-0.912574]
19;0.578704;[-1.09023,-298.086,0.710799]
20;0.564815;[-0.267267,-297.25,-0.14079]
21;0.541667;[-0.18508,-297.651,-0.907087]
22;0.592593;[-0.58305,-297.08,0.764778]
23;0.476852;[1.14399,-298.541,0.373866]
24;0.587963;[-1.05817,-297.494,-0.67547]
25;0.49537;[-0.73127,-298.177,-0.72887]
26;0.569444;[-0.0458389,-296.33,0.258359]
27;0.527778;[-0.615192,-297.558,0.642787]
28;0.50463;[0.837416,-297.407,-0.209756]
29;0.550926;[-0.382502,-298.68,-0.0293371]
30;0.541667;[0.0480518,-297.778,0.583555]
31;0.509259;[-0.0203078,-298.094,0.227396]
32;0.597222;[0.713842,-297.407,-0.157386]
33;0.518519;[0.159675,-296.421,-1.21185]
34;0.546296;[-0.243929,-298.488,-0.048337]
35;0.62037;[-0.693404,-297.696,-0.566485]
36;0.472222;[-0.0635006,-297.169,-0.141476]
37;0.643519;[0.604821,-297.148,-0.286987]
38;0.50463;[-0.888947,-297.102,0.208977]
39;0.532407;[0.281944,-297.926,-0.126595]
40;0.458333;[-2.25749,-298.028,-1.01642]
41;0.509259;[-0.508487,-297.532,-0.266069]
42;0.564815;[0.132798,-297.458,0.0656891]
43;0.532407;[0.0499057,-298.253,0.323101]
44;0.532407;[0.250074,-298.386,-0.373853]
45;0.444444;[-0.205111,-298.093,0.512463]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;1.66667;[0,0,0]
49;0;[-nan,-nan,-nan]
