Bin;Density;Velocity
0;1.66667;[0,0,0]
1;1.66667;[0,0,0]
2;0.00462963;[-9.62887,-134.19,3.38087]
3;0.638889;[-0.380051,-141.982,0.184805]
4;0.472222;[0.599575,-141.727,-0.141318]
5;0.592593;[0.28825,-141.984,-0.857391]
6;0.481481;[0.472747,-142.264,1.0331]
7;0.560185;[-0.308886,-141.059,0.239425]
8;0.578704;[0.382784,-141.624,0.103821]
9;0.550926;[0.386718,-140.941,0.168439]
10;0.5;[-0.331703,-140.754,-0.51692]
11;0.592593;[0.85573,-141.166,-0.826125]
12;0.453704;[-0.417525,-141.342,-0.258942]
13;0.541667;[-0.551485,-141.968,1.47921]
14;0.49537;[0.0200715,-141.769,-1.05414]
15;0.546296;[-1.04444,-141.663,0.401125]
16;0.532407;[1.61262,-141.274,0.29467]
17;0.578704;[-0.790041,-140.592,-0.569586]
18;0.476852;[0.483037,-140.612,-1.01809]
19;0.546296;[-0.0468708,-141.489,0.2208]
20;0.527778;[-0.611729,-141.769,1.18864]
21;0.50463;[-0.626304,-141.919,-0.559832]
22;0.578704;[0.550094,-141.643,0.962412]
23;0.523148;[0.280898,-142.079,-0.0267287]
24;0.527778;[0.21878,-142.066,-0.941764]
25;0.587963;[-0.189523,-141.691,0.573005]
26;0.527778;[0.353187,-141.142,0.0441029]
27;0.532407;[0.514411,-142.179,0.182028]
28;0.523148;[-0.00492132,-141.334,0.211311]
29;0.625;[-1.23474,-140.631,1.31751]
30;0.527778;[-1.30513,-141.381,1.52929]
31;0.472222;[0.528165,-141.475,0.85467]
32;0.62037;[-0.320311,-141.699,0.00852063]
33;0.527778;[-0.393282,-142.176,0.335917]
34;0.513889;[-0.41279,-140.215,-1.37293]
35;0.615741;[0.536389,-141.016,-0.149621]
36;0.486111;[0.390904,-142.042,-0.528966]
37;0.587963;[0.522557,-141.109,0.664462]
38;0.509259;[-0.704382,-142.15,0.714812]
39;0.523148;[-0.696833,-141.259,-0.185038]
40;0.50463;[0.774674,-141.649,-0.310448]
41;0.583333;[-0.849746,-141.493,0.418008]
42;0.583333;[0.0997029,-141.754,-0.662033]
43;0.513889;[-0.233087,-141.614,-1.03445]
44;0.574074;[-0.290594,-141.733,0.665361]
45;0.402778;[-0.285543,-141.755,0.827779]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;1.66667;[0,0,0]
49;0;[-nan,-nan,-nan]
