Bin;Density;Velocity
0;1.66667;[0,0,0]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;0.708333;[-1.02338,-59.0534,0.13645]
4;0.518519;[-0.362621,-59.4657,0.355898]
5;0.574074;[0.298226,-60.3401,-0.774636]
6;0.574074;[-0.02347,-59.4035,0.091414]
7;0.592593;[-0.122415,-58.6739,0.0267291]
8;0.615741;[0.264551,-59.0058,-0.215921]
9;0.648148;[-0.371035,-60.2998,-0.488525]
10;0.50463;[-1.30299,-59.1319,-0.139412]
11;0.62037;[-0.910024,-58.9769,-0.0494518]
12;0.615741;[-0.0769493,-60.0348,-0.221528]
13;0.625;[-1.74978,-59.3207,-0.534925]
14;0.574074;[-1.62829,-60.5516,-0.0138313]
15;0.592593;[-0.248771,-59.6232,-0.217418]
16;0.638889;[-0.608669,-59.5135,-0.0479106]
17;0.615741;[-1.06661,-60.7318,0.340267]
18;0.648148;[-1.13645,-59.9719,-0.0738474]
19;0.662037;[0.0905998,-60.6313,-0.349048]
20;0.625;[-1.14188,-58.7145,0.187415]
21;0.578704;[-0.393777,-59.3194,-0.54888]
22;0.574074;[0.239599,-58.7899,0.0405436]
23;0.62037;[0.116608,-59.313,0.236691]
24;0.550926;[-0.0472874,-59.7461,0.17058]
25;0.509259;[-1.07463,-59.5197,-0.390616]
26;0.541667;[-0.63122,-58.8019,0.138229]
27;0.564815;[-0.185965,-59.9419,0.660755]
28;0.555556;[-1.28939,-57.559,0.997457]
29;0.490741;[-1.10394,-58.384,0.920519]
30;0.472222;[-0.961816,-59.6168,0.560827]
31;0.546296;[-0.141975,-57.4413,-0.584733]
32;0.523148;[-0.530019,-57.0589,0.116078]
33;0.453704;[0.374671,-58.1227,-0.857277]
34;0.523148;[-0.783791,-57.1813,-0.437351]
35;0.509259;[0.624771,-56.6332,1.19939]
36;0.467593;[-1.0881,-57.1757,-0.208875]
37;0.412037;[-0.0640299,-57.7403,1.73024]
38;0.472222;[0.978958,-56.9907,-0.144862]
39;0.407407;[-0.705199,-56.4001,-0.232801]
40;0.412037;[0.746698,-56.2045,-0.389057]
41;0.407407;[0.821884,-56.5642,1.74689]
42;0.444444;[-1.30928,-56.9712,-0.0947659]
43;0.435185;[0.923536,-55.6759,-0.402097]
44;0.37037;[-0.308739,-57.1256,-0.735063]
45;0.351852;[-1.82849,-56.1257,0.0651209]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;1.66667;[0,0,0]
49;0;[-nan,-nan,-nan]
