Bin;Density;Velocity
0;1.66667;[0,0,0]
1;1.66667;[0,0,0]
2;0.0185185;[-1.30977,-123.633,0.0808766]
3;0.574074;[0.622243,-129.452,-0.234699]
4;0.569444;[0.838427,-129.004,1.96507]
5;0.578704;[-0.603923,-129.429,-0.415143]
6;0.555556;[0.137941,-129.294,-0.728414]
7;0.550926;[0.172883,-129.681,-0.249628]
8;0.5;[-1.02345,-129.234,0.240912]
9;0.564815;[0.0101166,-129.153,-0.0213299]
10;0.518519;[0.173877,-131.068,-0.242301]
11;0.467593;[-0.967247,-128.189,0.129122]
12;0.611111;[-0.350142,-130.623,1.05256]
13;0.462963;[-0.406279,-128.384,-0.109453]
14;0.550926;[0.38835,-129.38,0.0810537]
15;0.518519;[-0.234698,-130.262,-0.576948]
16;0.564815;[-0.485163,-129.429,0.0749309]
17;0.592593;[0.109448,-129.76,-0.339305]
18;0.518519;[-0.520619,-130.259,-0.485189]
19;0.541667;[-0.263003,-129.533,-0.311652]
20;0.523148;[-0.201671,-129.685,-0.162862]
21;0.537037;[-0.451705,-129.445,-0.346758]
22;0.476852;[0.0824336,-128.513,-1.14324]
23;0.509259;[0.253267,-129.167,0.218374]
24;0.555556;[0.896094,-129.317,-0.39265]
25;0.532407;[-0.443308,-128.674,1.11459]
26;0.578704;[-0.166193,-129.478,-0.434763]
27;0.555556;[1.42892,-128.753,0.575007]
28;0.518519;[-0.339499,-129.063,-0.888214]
29;0.587963;[0.675582,-128.997,0.344506]
30;0.532407;[-0.0669838,-129.299,0.0263526]
31;0.490741;[0.335244,-129.852,1.2326]
32;0.564815;[-0.215874,-130.365,-0.658362]
33;0.518519;[-0.279196,-129.224,-0.449203]
34;0.518519;[0.70893,-129.952,0.556237]
35;0.541667;[-0.515331,-129.997,1.11573]
36;0.611111;[-0.0088756,-128.608,-0.195734]
37;0.560185;[-0.23518,-129.452,-0.503419]
38;0.527778;[0.288587,-129.063,-1.04529]
39;0.532407;[0.263471,-129.7,1.30368]
40;0.532407;[0.195483,-130.092,0.0406815]
41;0.509259;[0.855815,-129.791,-0.157627]
42;0.578704;[0.0607451,-130.148,1.40071]
43;0.486111;[0.203602,-129.774,0.120164]
44;0.541667;[1.39944,-129.51,1.4136]
45;0.467593;[-0.364317,-130.261,-0.924758]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;1.66667;[0,0,0]
49;0;[-nan,-nan,-nan]
