Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.296296;[-0.545403,-268.951,-0.203582]
5;0.564815;[0.0358238,-269.292,-0.034314]
6;0.601852;[0.426924,-270.12,0.466958]
7;0.513889;[-0.553616,-269.863,1.02268]
8;0.587963;[0.32617,-269.116,0.217931]
9;0.597222;[-0.105228,-270.064,-0.506762]
10;0.62037;[-0.582654,-269.461,-0.118438]
11;0.574074;[0.0126789,-269.776,0.0959375]
12;0.550926;[-0.708653,-269.92,0.437114]
13;0.615741;[0.285694,-269.158,0.0651237]
14;0.564815;[0.668372,-270.434,-0.404332]
15;0.662037;[0.581227,-270.43,-0.535981]
16;0.537037;[0.420409,-269.242,0.393359]
17;0.601852;[-0.0947141,-268.788,-0.257897]
18;0.587963;[-0.548551,-271.299,-0.323921]
19;0.601852;[0.105325,-269.518,0.349136]
20;0.592593;[0.0185522,-269.1,0.186799]
21;0.550926;[0.0464601,-270.224,0.0476473]
22;0.578704;[-0.894993,-270.241,0.621473]
23;0.62037;[-0.0842669,-269.666,-0.895478]
24;0.518519;[-0.210391,-270.582,-0.0414411]
25;0.578704;[0.271254,-270.064,-0.212425]
26;0.569444;[-0.900267,-269.589,0.0133629]
27;0.560185;[0.0193002,-270.519,-0.022768]
28;0.615741;[0.372068,-269.625,-0.128642]
29;0.527778;[-0.479267,-269.08,0.238579]
30;0.638889;[0.234712,-269.547,-0.310569]
31;0.611111;[-0.340571,-270.287,0.0629573]
32;0.541667;[-0.522825,-269.763,-0.943226]
33;0.578704;[-0.638257,-268.836,-0.433842]
34;0.578704;[0.259926,-269.925,0.74758]
35;0.574074;[-0.750827,-270.323,0.717602]
36;0.555556;[0.378883,-270.84,1.58731]
37;0.634259;[-0.0121287,-269.695,0.925765]
38;0.671296;[-0.663382,-270.089,-0.770343]
39;0.606481;[0.932153,-269.371,-0.37971]
40;0.5;[-0.299591,-269.939,0.801892]
41;0.541667;[-0.699081,-270.435,-0.79699]
42;0.569444;[0.361865,-269.907,0.878922]
43;0.694444;[0.0128735,-270.064,0.0823438]
44;0.0601852;[-0.773623,-267.466,0.658334]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
