Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.365741;[-0.627257,-251.1,-0.785537]
5;0.615741;[-0.0203426,-249.713,-0.156972]
6;0.625;[-0.313812,-250.009,0.629512]
7;0.513889;[-1.22389,-249.577,-0.21691]
8;0.546296;[-0.333478,-250.682,1.412]
9;0.592593;[-0.104519,-249.939,-0.377491]
10;0.592593;[-0.509812,-248.786,-0.147359]
11;0.583333;[0.518356,-249.855,-0.803053]
12;0.574074;[0.941332,-249.246,0.893188]
13;0.597222;[-0.289007,-249.316,0.0242384]
14;0.564815;[-0.323685,-249.232,-0.867687]
15;0.578704;[0.747546,-249.944,0.0885311]
16;0.541667;[-0.449411,-249.741,0.116857]
17;0.541667;[0.457973,-249.719,-0.544203]
18;0.583333;[-0.0289049,-250.178,-0.518577]
19;0.546296;[0.787365,-250.279,0.146747]
20;0.541667;[-0.271831,-250.347,-0.470784]
21;0.587963;[-0.285755,-248.901,-0.632572]
22;0.611111;[-0.144772,-249.346,0.922402]
23;0.574074;[-0.253425,-249.688,0.591241]
24;0.606481;[-0.443945,-249.747,-0.738978]
25;0.569444;[-0.567699,-250.78,-1.04014]
26;0.555556;[-0.25266,-249.479,-0.0258215]
27;0.648148;[-0.231511,-249.489,-0.53349]
28;0.564815;[-0.335689,-250.597,0.212342]
29;0.601852;[0.0528716,-250.36,0.31021]
30;0.578704;[-0.85691,-249.602,-0.358393]
31;0.546296;[0.0530086,-250.017,-0.323464]
32;0.583333;[-0.841983,-249.868,-0.201335]
33;0.597222;[0.18142,-250.282,-0.636623]
34;0.555556;[0.48749,-249.521,-0.0424293]
35;0.657407;[0.133251,-250.274,0.206041]
36;0.560185;[-0.298306,-249.596,0.173035]
37;0.560185;[0.253372,-248.779,0.584449]
38;0.583333;[-0.61036,-249.401,0.100085]
39;0.578704;[0.263451,-250.025,-0.663045]
40;0.583333;[0.168374,-249.221,-1.17355]
41;0.587963;[-0.460048,-249.894,0.214247]
42;0.574074;[0.0750202,-250.38,0.929694]
43;0.731481;[-0.53531,-249.159,-0.911484]
44;0.0462963;[2.8131,-252.407,1.0286]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
