Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.375;[-0.81959,-114.254,-0.521897]
5;0.680556;[-0.0608947,-113.472,0.286034]
6;0.513889;[0.0331518,-113.545,0.772439]
7;0.601852;[0.232387,-113.737,-0.221408]
8;0.555556;[-0.864569,-112.641,0.771693]
9;0.537037;[-0.14077,-114.431,0.0770951]
10;0.550926;[0.34516,-114.666,0.749858]
11;0.583333;[-0.879852,-113.271,0.795618]
12;0.569444;[-0.134978,-112.697,0.491888]
13;0.625;[-0.514728,-113.418,-0.188923]
14;0.5;[0.259752,-113.907,-0.640065]
15;0.592593;[0.390602,-113.806,0.137927]
16;0.62963;[-0.180231,-114.021,-0.381396]
17;0.546296;[-0.602602,-114.187,0.177926]
18;0.606481;[-0.203519,-112.697,0.615102]
19;0.560185;[0.570233,-113.984,-0.799273]
20;0.564815;[0.10435,-113.508,-0.0130773]
21;0.532407;[0.452311,-113.586,-0.67028]
22;0.592593;[0.788823,-113.712,-0.732441]
23;0.597222;[0.392758,-114.209,0.620235]
24;0.601852;[1.19341,-112.496,-0.0626994]
25;0.578704;[-0.615967,-113.911,-0.786112]
26;0.685185;[0.324629,-114.171,-0.698315]
27;0.541667;[0.0780085,-114.1,-1.34051]
28;0.550926;[-0.31427,-113.441,0.674612]
29;0.578704;[-0.150203,-112.936,-0.941331]
30;0.555556;[0.225144,-113.384,0.7547]
31;0.578704;[0.9307,-113.689,0.444526]
32;0.652778;[-0.19637,-113.264,-0.94057]
33;0.537037;[0.190584,-113,0.29627]
34;0.578704;[0.277214,-113.468,-0.0787227]
35;0.527778;[-0.659221,-113.073,-0.136128]
36;0.657407;[0.377465,-113.16,-0.428607]
37;0.569444;[-0.248029,-112.978,1.05412]
38;0.560185;[0.418978,-114.436,0.884467]
39;0.578704;[-0.57453,-113.929,-0.203626]
40;0.532407;[0.0140112,-113.792,0.817204]
41;0.666667;[-0.457557,-113.486,-0.53164]
42;0.555556;[0.193109,-112.896,-0.0617056]
43;0.708333;[0.184335,-114.166,-0.228058]
44;0.037037;[1.84403,-112.868,-2.76629]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
