Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.0462963;[-1.27476,-359.208,-2.44179]
5;0.75;[-0.656857,-358.617,-0.605387]
6;0.564815;[0.284715,-358.568,-0.47129]
7;0.587963;[-0.0359814,-359.402,0.485806]
8;0.587963;[0.642139,-359.6,1.07779]
9;0.560185;[-0.0712258,-358.529,0.209457]
10;0.564815;[1.2215,-357.353,-0.944612]
11;0.560185;[0.990976,-359.148,-0.507788]
12;0.611111;[1.22387,-359.124,0.259113]
13;0.50463;[0.310706,-359.007,-0.133435]
14;0.611111;[0.752173,-358.623,-0.152069]
15;0.555556;[-0.497743,-359.658,0.0525613]
16;0.583333;[0.797884,-357.684,0.463889]
17;0.541667;[-0.514018,-359.755,1.4726]
18;0.606481;[1.08149,-357.494,-0.0339064]
19;0.643519;[-0.136768,-358.207,0.0981569]
20;0.597222;[-0.69608,-358.61,-0.425038]
21;0.555556;[0.493818,-359.167,-0.489456]
22;0.592593;[-0.386094,-358.387,-0.532078]
23;0.583333;[-0.753648,-359.152,-0.0133553]
24;0.569444;[-0.258642,-358.972,-0.0181417]
25;0.625;[0.574092,-359.181,-0.121545]
26;0.611111;[0.186973,-359.218,-0.0300278]
27;0.532407;[0.858962,-358.082,0.934888]
28;0.652778;[0.661246,-358.64,0.190945]
29;0.606481;[0.65759,-358.091,-0.369141]
30;0.583333;[-0.257276,-359.557,0.847158]
31;0.587963;[0.332359,-358.848,-0.374698]
32;0.583333;[-0.143872,-358.639,-0.965152]
33;0.583333;[0.447475,-359.035,0.747718]
34;0.587963;[0.533939,-359.062,-0.398279]
35;0.652778;[0.104547,-358.357,-0.514986]
36;0.527778;[-1.00496,-358.962,0.136791]
37;0.657407;[-0.553622,-358.748,0.0632702]
38;0.546296;[-0.331238,-358.545,0.312066]
39;0.564815;[-0.668337,-359.469,0.429476]
40;0.601852;[-0.0977987,-359.971,0.575544]
41;0.62037;[-0.395731,-358.482,-0.0243572]
42;0.537037;[0.186027,-358.715,0.604455]
43;0.708333;[-0.140417,-358.243,0.273085]
44;0;[-nan,-nan,-nan]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
