Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.0694444;[-0.0185426,-320.765,2.13496]
5;0.810185;[0.102496,-318.342,-0.258765]
6;0.481481;[-0.275411,-317.637,1.62394]
7;0.578704;[0.219895,-318.744,-0.0380146]
8;0.611111;[0.615325,-319.621,0.639661]
9;0.592593;[-0.575578,-318.714,0.991104]
10;0.615741;[-0.918064,-317.831,-1.48022]
11;0.62963;[-0.336628,-318.797,-0.212351]
12;0.578704;[1.00696,-318.821,-0.687588]
13;0.606481;[-0.402898,-318.441,0.339211]
14;0.597222;[-0.270992,-318.008,-0.187255]
15;0.587963;[-0.47773,-318.746,0.0144323]
16;0.574074;[0.03559,-319.144,-0.681749]
17;0.546296;[0.808408,-317.625,0.452067]
18;0.625;[0.804789,-319.543,0.531259]
19;0.513889;[0.339368,-318.327,0.877723]
20;0.587963;[1.10851,-319.824,0.374364]
21;0.569444;[0.309876,-318.136,-0.107938]
22;0.592593;[-0.382624,-319.092,-0.434081]
23;0.601852;[-0.828859,-317.962,0.102494]
24;0.583333;[0.300256,-319.245,0.137409]
25;0.574074;[-1.41173,-318.69,-0.100866]
26;0.648148;[-1.61107,-318.585,-0.169635]
27;0.537037;[0.528701,-317.243,-0.45075]
28;0.546296;[0.424047,-319.282,-0.0539465]
29;0.597222;[0.279074,-317.907,1.05939]
30;0.50463;[-0.219278,-319.484,-0.63003]
31;0.587963;[-0.369677,-319.199,0.193763]
32;0.546296;[0.118474,-318.025,0.398006]
33;0.62037;[0.325934,-318.142,-0.368408]
34;0.611111;[0.392983,-318.972,0.800458]
35;0.648148;[0.795508,-319.372,0.689114]
36;0.597222;[0.0751466,-319.308,0.400414]
37;0.555556;[0.389307,-318.377,-0.0958073]
38;0.638889;[-0.318185,-318.775,0.441331]
39;0.587963;[0.478312,-318.031,-0.709436]
40;0.574074;[-0.784512,-319.49,-0.0161044]
41;0.625;[0.42759,-319.584,0.799069]
42;0.601852;[0.155582,-318.963,-0.305775]
43;0.592593;[0.500933,-318.523,0.074635]
44;0;[-nan,-nan,-nan]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
