Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.101852;[-0.0855122,-97.2529,-0.114253]
5;0.731481;[0.242973,-98.1749,0.126426]
6;0.703704;[-0.0614399,-98.987,0.390906]
7;0.569444;[0.539137,-97.9423,0.378446]
8;0.50463;[0.957583,-97.9524,0.302143]
9;0.587963;[0.42189,-99.2668,-0.191922]
10;0.592593;[-0.37558,-96.9948,-0.777184]
11;0.578704;[0.627539,-98.523,0.498437]
12;0.587963;[0.209782,-98.5379,-0.246544]
13;0.597222;[-0.0434623,-98.48,0.161737]
14;0.615741;[-0.0370225,-98.8738,0.831707]
15;0.569444;[-0.134645,-96.6184,-0.573423]
16;0.583333;[0.51492,-98.9034,-0.139587]
17;0.62037;[-0.35134,-97.2067,-0.786031]
18;0.601852;[0.124561,-97.471,0.012883]
19;0.564815;[0.272629,-98.1383,-0.407669]
20;0.532407;[-0.197521,-97.5326,1.31657]
21;0.597222;[0.966162,-98.2361,-0.354803]
22;0.601852;[0.329236,-97.752,-0.0413627]
23;0.634259;[-0.369642,-97.1552,-0.896057]
24;0.50463;[-0.44882,-99.377,0.237915]
25;0.574074;[0.452885,-98.2693,0.0264903]
26;0.652778;[0.157987,-98.9495,-0.255808]
27;0.532407;[0.122208,-98.2793,0.312741]
28;0.583333;[0.302441,-99.1195,0.833761]
29;0.587963;[-1.53076,-97.7552,0.919308]
30;0.648148;[-0.393562,-98.3591,0.242117]
31;0.587963;[0.310122,-98.8909,0.5488]
32;0.486111;[-0.40261,-98.9606,-0.342146]
33;0.611111;[-0.586494,-98.4022,0.380787]
34;0.62037;[0.283114,-97.866,0.042058]
35;0.574074;[-0.0575002,-98.7888,-0.306627]
36;0.652778;[0.200688,-97.953,0.104813]
37;0.550926;[-0.51706,-98.3571,-0.40747]
38;0.62963;[0.666783,-98.6808,0.322991]
39;0.537037;[0.668643,-97.2573,0.637486]
40;0.578704;[-0.517482,-99.0005,-0.669926]
41;0.643519;[0.314231,-97.9582,0.227557]
42;0.546296;[0.0555308,-98.9087,-0.128853]
43;0.569444;[-0.177538,-98.6723,-0.449082]
44;0;[-nan,-nan,-nan]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
