Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.0694444;[-1.38451,-188.451,-3.24106]
5;0.680556;[0.0897497,-190.244,0.30152]
6;0.555556;[-0.300114,-191.446,0.417365]
7;0.550926;[0.207408,-190.534,0.624962]
8;0.601852;[0.684568,-190.922,-0.0595663]
9;0.662037;[-1.00954,-190.599,-0.404074]
10;0.546296;[0.962656,-190.865,0.87062]
11;0.615741;[-0.776731,-191.085,-0.427494]
12;0.574074;[0.0160467,-190.62,0.638037]
13;0.546296;[-0.874959,-191.053,0.069562]
14;0.527778;[-0.20878,-190.072,0.0507089]
15;0.662037;[0.228116,-191.696,-0.168337]
16;0.592593;[-0.816628,-190.69,0.439384]
17;0.518519;[-0.809069,-190.029,-0.174818]
18;0.601852;[-0.388695,-191.103,0.197794]
19;0.541667;[0.398858,-189.968,0.353921]
20;0.657407;[-0.0583565,-189.991,0.614819]
21;0.541667;[0.0216556,-190.642,0.655642]
22;0.62037;[-0.451776,-189.56,0.901635]
23;0.643519;[0.446552,-190.434,0.090422]
24;0.513889;[-0.396578,-190.095,-0.308793]
25;0.62037;[-0.70737,-189.451,-0.634246]
26;0.611111;[-1.41821,-190.714,0.926336]
27;0.560185;[0.179604,-189.461,-0.319723]
28;0.643519;[0.263517,-190.911,-0.056686]
29;0.625;[0.0966885,-190.211,0.621202]
30;0.587963;[-0.163727,-190.946,-0.111027]
31;0.583333;[0.416752,-190.403,0.0430391]
32;0.597222;[-0.327725,-189.83,-0.153845]
33;0.532407;[0.398302,-190.777,-0.140517]
34;0.574074;[-0.903249,-190.472,-0.689797]
35;0.648148;[-0.216359,-189.131,-0.267821]
36;0.583333;[0.130408,-190.799,0.302437]
37;0.611111;[0.202793,-190.403,-0.678861]
38;0.597222;[0.115121,-189.919,0.667428]
39;0.546296;[0.700507,-190.68,-0.938965]
40;0.62037;[0.35657,-190.039,-0.15701]
41;0.555556;[0.184852,-190.395,-0.627507]
42;0.541667;[0.759132,-190.712,-0.569137]
43;0.685185;[0.404925,-190.174,-0.534787]
44;0;[-nan,-nan,-nan]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
