Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.449074;[-0.425425,-1.44806,-0.420841]
5;0.574074;[-0.254238,-1.32039,-0.235452]
6;0.726852;[0.176916,-0.793253,0.40162]
7;0.356481;[0.123169,-1.13642,0.405979]
8;0.726852;[-1.33583,-0.465523,0.348494]
9;0.462963;[-1.02142,-0.804651,-0.401916]
10;0.666667;[-0.633548,-2.39181,-0.146273]
11;0.532407;[-0.0507437,-2.48839,-0.249016]
12;0.615741;[-0.792612,-1.90057,0.386896]
13;0.564815;[0.805924,-1.28282,-0.144815]
14;0.550926;[-0.684024,-2.15824,0.924048]
15;0.597222;[-0.297293,-1.97577,-0.660032]
16;0.546296;[0.140277,-2.8868,0.0214206]
17;0.601852;[0.154196,-2.36117,-0.792397]
18;0.564815;[-0.396041,-2.24556,-0.695572]
19;0.574074;[-0.719052,-2.11098,0.615969]
20;0.546296;[0.454173,-2.62477,-0.158104]
21;0.62037;[-0.859282,-2.28883,-0.995578]
22;0.578704;[-0.180094,-2.68581,-0.75899]
23;0.509259;[0.121307,-2.33482,0.079813]
24;0.638889;[1.00813,-3.46108,-0.358302]
25;0.513889;[0.883558,-3.18105,0.794755]
26;0.597222;[-0.186999,-2.80187,-0.425029]
27;0.541667;[-0.252349,-3.62331,1.6499]
28;0.550926;[0.10902,-4.3408,-0.709496]
29;0.560185;[0.749268,-2.46964,0.58142]
30;0.587963;[-0.0266907,-2.64378,0.830697]
31;0.583333;[-0.631751,-2.73107,0.599644]
32;0.569444;[0.411721,-2.98906,0.56476]
33;0.546296;[-0.116887,-1.86726,-0.680658]
34;0.638889;[-0.305362,-2.24613,0.812914]
35;0.49537;[0.798652,-2.24876,-0.359087]
36;0.675926;[0.560328,-2.95676,0.371059]
37;0.527778;[0.0172332,-0.776323,-0.36266]
38;0.611111;[0.673542,-1.81188,0.776111]
39;0.5;[0.872819,-1.77212,-0.318878]
40;0.564815;[0.308425,-1.03686,-0.366165]
41;0.712963;[-0.691165,-1.0303,-0.023499]
42;0.342593;[0.599222,-1.23391,0.505328]
43;1.00926;[0.452772,0.124303,-0.00419882]
44;0.0138889;[-0.668398,-5.89731,0.264233]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
