Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.421296;[-1.19885,0.260584,1.01699]
5;0.625;[-0.923172,0.636794,0.202419]
6;0.671296;[-0.731431,-0.988453,0.515273]
7;0.421296;[0.137478,-1.3652,-0.314888]
8;0.731481;[-0.0871425,-1.30093,-0.439803]
9;0.444444;[0.568569,-1.45973,-0.422976]
10;0.643519;[0.38448,-2.16218,0.32892]
11;0.50463;[-0.721091,-2.15038,-0.887302]
12;0.615741;[-1.21726,-1.02048,0.974461]
13;0.574074;[-0.205627,-1.60642,-0.259549]
14;0.587963;[1.0803,-1.79952,-0.418587]
15;0.583333;[-0.686408,-1.34003,-0.111581]
16;0.513889;[0.334489,-3.14822,-0.615526]
17;0.652778;[-0.797675,-2.79415,-0.0158081]
18;0.560185;[-0.739834,-2.1846,-0.0388033]
19;0.578704;[0.960931,-1.47279,-0.202792]
20;0.574074;[-0.0269026,-2.29238,0.766297]
21;0.541667;[0.327715,-2.8495,-0.0289098]
22;0.583333;[0.354482,-2.69824,-0.100804]
23;0.601852;[-0.0313892,-3.55245,-0.275438]
24;0.597222;[0.511311,-2.73676,0.381109]
25;0.532407;[-0.542956,-3.12655,-1.57282]
26;0.606481;[-0.00674919,-1.89392,0.738525]
27;0.532407;[0.754304,-2.57366,0.0405595]
28;0.597222;[-0.120971,-2.47392,0.772923]
29;0.560185;[-0.931663,-3.29499,-0.450884]
30;0.518519;[0.455578,-2.09597,-0.0392188]
31;0.615741;[-0.380386,-1.511,0.391166]
32;0.578704;[-0.318554,-2.49519,1.07613]
33;0.550926;[-0.33238,-3.43868,-0.224139]
34;0.555556;[0.601444,-1.14575,-1.11717]
35;0.583333;[0.0716032,-1.73254,-0.949981]
36;0.606481;[0.127665,-1.84837,-0.142517]
37;0.574074;[-0.748778,-3.04467,-0.606088]
38;0.569444;[-0.452638,-0.620528,0.736724]
39;0.564815;[0.0909981,-0.933237,-0.031607]
40;0.527778;[-0.330373,-1.20113,1.11757]
41;0.712963;[-0.231948,-1.49838,0.249846]
42;0.314815;[-0.751318,-0.787686,-0.0837843]
43;1.00926;[0.0740599,-1.14247,-0.167382]
44;0.00925926;[4.34478,-1.59095,-2.07479]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
