Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.430556;[0.668531,-0.931991,-0.240831]
5;0.601852;[-0.0908894,-1.41282,1.00924]
6;0.62963;[-1.03609,-0.411015,0.115026]
7;0.453704;[0.825879,-1.98365,-1.25038]
8;0.717593;[0.354545,-1.01444,0.593864]
9;0.467593;[-0.335577,-1.16039,-0.667229]
10;0.634259;[-0.0331156,-1.76786,-0.153201]
11;0.555556;[-0.251694,-2.14157,-0.914733]
12;0.574074;[-0.115351,-2.59774,-0.709315]
13;0.611111;[0.576469,-1.82023,0.185834]
14;0.532407;[-0.338169,-2.03242,-0.585797]
15;0.583333;[-0.0193898,-2.62791,0.825807]
16;0.592593;[0.0754516,-2.0283,0.776692]
17;0.583333;[0.0451562,-1.54392,0.0438336]
18;0.564815;[-0.351688,-2.28559,0.306421]
19;0.564815;[-0.345742,-2.61079,0.331799]
20;0.587963;[-0.366995,-2.97456,-0.0539935]
21;0.597222;[0.329259,-1.9403,-0.02078]
22;0.532407;[-0.208477,-2.58695,-0.366566]
23;0.597222;[-0.162145,-2.62044,0.692523]
24;0.574074;[-0.09546,-2.64005,-0.134296]
25;0.555556;[0.351352,-2.66762,0.259666]
26;0.560185;[0.456419,-2.54687,0.966727]
27;0.555556;[1.63598,-1.83122,-0.155427]
28;0.643519;[0.136181,-3.69663,0.645134]
29;0.5;[2.10558,-2.84863,0.554402]
30;0.625;[-0.346883,-1.61829,0.188191]
31;0.555556;[0.00693196,-2.83783,0.932659]
32;0.574074;[-1.65586,-2.27893,0.87522]
33;0.569444;[-0.0764311,-2.08115,0.351113]
34;0.578704;[-0.27402,-2.61287,-0.409331]
35;0.564815;[-1.24628,-1.03225,1.0541]
36;0.606481;[0.940227,-1.50304,0.761105]
37;0.49537;[-0.156869,-1.65502,0.571189]
38;0.634259;[-0.959891,-1.44988,1.28499]
39;0.523148;[-0.592717,-1.90387,0.381263]
40;0.587963;[0.135595,-1.05871,0.358978]
41;0.652778;[0.525598,-1.21041,-0.314902]
42;0.412037;[1.68911,-0.954909,-0.26426]
43;0.962963;[0.170212,-0.951334,0.149789]
44;0.00462963;[5.36348,-6.03355,-7.91288]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
