Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.175926;[-0.0183356,-20.3791,0.823556]
5;0.490741;[1.81248,-21.2581,0.387863]
6;0.458333;[-0.168214,-22.0363,0.434693]
7;0.518519;[0.164126,-23.4161,-1.02935]
8;0.407407;[1.09842,-23.5823,0.315273]
9;0.50463;[-0.49056,-24.254,-0.305307]
10;0.537037;[-0.745044,-25.0055,-1.40134]
11;0.518519;[0.428105,-26.015,-0.246867]
12;0.597222;[-0.668991,-26.5686,0.112425]
13;0.597222;[-0.211954,-26.6862,0.00814969]
14;0.601852;[-1.24215,-28.7207,0.968882]
15;0.611111;[-0.282542,-28.6508,0.123227]
16;0.648148;[-0.220539,-28.3124,0.426087]
17;0.662037;[-0.714193,-29.346,-0.438277]
18;0.675926;[-0.457899,-29.0984,0.702524]
19;0.671296;[-0.0883767,-29.0904,-0.434395]
20;0.703704;[-0.333005,-29.6014,-0.170609]
21;0.768519;[-0.176197,-29.6092,-0.374355]
22;0.648148;[-0.476735,-30.761,0.337116]
23;0.736111;[-1.27916,-29.9486,-0.657001]
24;0.703704;[0.508511,-30.5385,0.36593]
25;0.731481;[-0.818917,-30.6162,-0.65608]
26;0.699074;[0.0787697,-30.3479,-0.054981]
27;0.671296;[0.382862,-30.0885,0.259614]
28;0.689815;[-0.866211,-29.9091,0.450593]
29;0.615741;[-0.359601,-30.3908,-0.00140533]
30;0.736111;[0.050242,-28.8709,0.369977]
31;0.62037;[0.712012,-28.0159,-0.0368652]
32;0.634259;[0.150928,-28.2021,0.20174]
33;0.606481;[0.0707161,-27.5076,0.470183]
34;0.597222;[0.751024,-27.0185,0.267091]
35;0.476852;[0.13282,-26.543,0.268333]
36;0.574074;[-0.844038,-26.6089,-0.635187]
37;0.486111;[0.385565,-25.1239,0.494299]
38;0.486111;[0.172891,-23.9496,-0.980396]
39;0.490741;[-0.0575803,-22.5593,1.46826]
40;0.486111;[0.246581,-22.7242,0.541449]
41;0.435185;[0.472159,-21.6636,0.53724]
42;0.37963;[-0.0344106,-20.2705,0.648148]
43;0.476852;[1.16481,-19.264,-0.359516]
44;0.0185185;[-3.48011,-15.7291,1.36281]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
