Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.236111;[0.150272,-15.5864,2.08234]
5;0.439815;[0.703523,-14.9036,-1.1604]
6;0.472222;[0.542213,-14.4755,-0.811624]
7;0.430556;[-1.16529,-16.705,0.283408]
8;0.421296;[-0.166797,-18.341,-0.604848]
9;0.564815;[0.792522,-18.1828,-0.249162]
10;0.458333;[-0.158277,-18.887,-0.613082]
11;0.583333;[0.871899,-20.5095,-0.310061]
12;0.523148;[-0.306409,-20.8398,-0.0912958]
13;0.638889;[-1.18582,-21.5672,-0.169685]
14;0.560185;[-0.041315,-21.8377,0.944224]
15;0.555556;[0.376521,-23.6912,0.807102]
16;0.62037;[-0.0378008,-23.7026,0.313386]
17;0.666667;[-0.269505,-23.7383,-0.756374]
18;0.62963;[-0.234681,-24.5472,-0.0110589]
19;0.601852;[0.120354,-24.1518,0.459533]
20;0.722222;[-0.507368,-24.7952,1.41691]
21;0.643519;[-0.453866,-24.2446,0.13097]
22;0.657407;[-0.24774,-25.0906,0.111159]
23;0.74537;[0.300228,-24.6183,-0.281403]
24;0.675926;[-0.0327135,-25.3486,0.141193]
25;0.699074;[-0.315832,-25.2944,0.174589]
26;0.666667;[-0.253514,-24.8453,-0.244499]
27;0.675926;[-0.221636,-24.043,0.209191]
28;0.680556;[-0.358475,-25.4191,-0.0810792]
29;0.634259;[-0.600613,-24.2746,-0.566367]
30;0.731481;[-0.652236,-24.1235,-0.386461]
31;0.578704;[0.0571867,-23.5207,0.358141]
32;0.62963;[0.133925,-23.9986,0.135398]
33;0.648148;[-0.398424,-23.3544,0.732715]
34;0.601852;[-0.5239,-22.3202,-0.866444]
35;0.574074;[1.01405,-21.9552,-0.398113]
36;0.583333;[-0.718196,-19.5937,-0.804758]
37;0.486111;[0.23306,-20.2032,0.743297]
38;0.578704;[0.316904,-19.7304,-0.883476]
39;0.49537;[-0.103825,-18.6574,-0.625612]
40;0.537037;[-0.575001,-17.7274,0.474081]
41;0.513889;[0.281501,-17.3286,0.223645]
42;0.37963;[2.12425,-15.5993,0.202207]
43;0.601852;[0.0775131,-14.4709,0.470263]
44;0.00462963;[-1.13633,-13.3339,0.88175]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
