Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.324074;[-2.14417,-95.8708,0.141443]
5;0.601852;[-0.482652,-96.608,-0.456338]
6;0.587963;[-1.11971,-95.8748,0.229152]
7;0.587963;[0.0827385,-95.493,0.669997]
8;0.587963;[-0.958261,-96.3258,0.873628]
9;0.611111;[1.37111,-95.883,0.244139]
10;0.578704;[0.468676,-95.4553,-0.088073]
11;0.546296;[0.870994,-95.636,0.879451]
12;0.569444;[-0.408079,-95.9111,0.389681]
13;0.597222;[-0.302847,-96.907,0.0662944]
14;0.541667;[0.271653,-95.5756,0.382832]
15;0.62963;[-0.745637,-95.3087,0.136691]
16;0.537037;[0.0141611,-94.4937,-0.445568]
17;0.611111;[-0.152186,-95.144,-0.358416]
18;0.615741;[-0.0401752,-95.6024,0.201388]
19;0.657407;[-0.545821,-95.5261,-0.663206]
20;0.587963;[0.0675055,-95.3861,-0.064003]
21;0.625;[0.862047,-95.3376,-1.05061]
22;0.564815;[1.41079,-95.4625,-0.707775]
23;0.611111;[0.381979,-95.6773,0.083833]
24;0.606481;[0.636075,-95.2655,-1.0048]
25;0.532407;[0.421154,-96.1279,0.454937]
26;0.615741;[0.835064,-94.9328,0.620905]
27;0.625;[-0.228599,-94.604,1.11443]
28;0.541667;[-0.664619,-95.1741,0.563737]
29;0.592593;[0.587035,-94.7002,-0.851883]
30;0.592593;[-0.148719,-96.157,-0.417676]
31;0.578704;[0.991697,-95.2296,0.0361109]
32;0.574074;[0.0551691,-95.6518,0.572846]
33;0.583333;[-0.0158915,-95.7391,0.108151]
34;0.555556;[-0.109058,-95.116,-0.88168]
35;0.550926;[-0.893587,-95.0094,-0.836181]
36;0.546296;[-0.934175,-95.7018,-1.16433]
37;0.546296;[0.945197,-95.1413,0.203434]
38;0.601852;[-0.518599,-95.282,0.286624]
39;0.541667;[-0.380437,-95.7175,-0.625288]
40;0.611111;[-0.490688,-94.3877,-0.745147]
41;0.532407;[-0.022867,-94.8766,-0.365198]
42;0.532407;[0.413289,-95.383,-0.357502]
43;0.708333;[0.247527,-95.4928,0.592496]
44;0.00462963;[-3.23724,-95.4535,4.85488]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
