Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.259259;[1.11519,-10.1015,-0.0267051]
5;0.476852;[-0.133793,-10.5314,0.958503]
6;0.513889;[-0.0640426,-11.238,-0.0229196]
7;0.490741;[-1.09877,-11.7028,-0.666643]
8;0.541667;[0.248841,-13.2735,0.314579]
9;0.462963;[-0.624744,-14.0758,0.303068]
10;0.601852;[0.591433,-14.9499,-0.711541]
11;0.587963;[0.191656,-15.1857,-0.068541]
12;0.578704;[-0.697373,-17.5449,-1.04094]
13;0.583333;[0.219573,-16.5157,-0.0710876]
14;0.523148;[0.741178,-18.8291,0.872865]
15;0.62037;[-0.454991,-19.4313,0.265797]
16;0.652778;[0.15686,-18.5747,0.243359]
17;0.560185;[0.963276,-19.2974,-0.355276]
18;0.689815;[-0.0798022,-19.7099,0.385079]
19;0.648148;[0.704789,-19.5954,-0.0176185]
20;0.634259;[-0.582722,-19.8292,0.0644844]
21;0.662037;[-0.195831,-20.8971,0.294865]
22;0.634259;[0.43952,-20.5426,0.464374]
23;0.671296;[-0.569222,-21.2392,0.395375]
24;0.666667;[-1.1136,-20.1361,-0.111144]
25;0.638889;[-0.273293,-20.1344,0.538757]
26;0.708333;[0.269211,-20.1562,0.0229379]
27;0.634259;[0.0400632,-19.6196,-0.699749]
28;0.611111;[0.441048,-19.0779,0.83456]
29;0.680556;[0.896759,-19.9337,0.10982]
30;0.625;[-0.479406,-20.0257,-0.646096]
31;0.597222;[-0.453109,-18.2529,-0.660428]
32;0.662037;[0.596392,-18.2508,0.340688]
33;0.560185;[0.663828,-17.9288,-1.01383]
34;0.574074;[0.0984464,-17.6259,0.290503]
35;0.597222;[-0.159851,-17.9683,0.339068]
36;0.564815;[1.06714,-15.7426,-0.380713]
37;0.574074;[-0.111382,-15.8564,0.0736155]
38;0.518519;[-0.664291,-15.8485,-0.551769]
39;0.5;[-0.152386,-14.6629,0.184156]
40;0.49537;[-0.347718,-13.7396,-1.46797]
41;0.527778;[-0.0285237,-13.8746,0.8297]
42;0.342593;[0.474076,-11.1152,-0.134951]
43;0.657407;[0.104855,-9.1142,-0.605871]
44;0.0185185;[-0.411008,-9.83221,-4.08868]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
