Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.240741;[0.399573,-26.6555,-0.450102]
5;0.546296;[-0.0120782,-26.2812,0.213069]
6;0.50463;[-0.214873,-26.2696,-0.290288]
7;0.490741;[0.131947,-25.9434,-0.0461869]
8;0.592593;[0.139422,-26.1563,-0.284919]
9;0.541667;[0.143503,-26.6306,0.0754938]
10;0.546296;[-0.179207,-26.4792,-0.124958]
11;0.550926;[-0.265235,-26.5838,0.0876272]
12;0.564815;[0.00120886,-26.3586,0.0347085]
13;0.606481;[-0.238064,-26.7762,0.165284]
14;0.592593;[-0.0582947,-26.9047,0.280035]
15;0.583333;[-0.16557,-26.6165,0.0969241]
16;0.523148;[-0.00488597,-26.689,0.19928]
17;0.62037;[0.0735776,-27.0577,0.23915]
18;0.578704;[0.326583,-27.0648,0.172951]
19;0.587963;[-0.0176048,-26.9091,0.0464357]
20;0.601852;[-0.170743,-27.0591,0.0478505]
21;0.601852;[0.0843179,-27.0703,-0.270965]
22;0.666667;[0.0846247,-26.8331,-0.124292]
23;0.62037;[0.146504,-26.9405,-0.0397589]
24;0.546296;[-0.142325,-26.8725,0.064723]
25;0.611111;[-0.160727,-27.0376,0.0687713]
26;0.62963;[0.00881127,-27.2211,-0.00752026]
27;0.564815;[0.171132,-27.1892,-0.166575]
28;0.62037;[0.161655,-26.9241,-0.0447428]
29;0.564815;[0.0765175,-27.3123,0.202278]
30;0.587963;[0.0282242,-27.1275,-0.0559724]
31;0.615741;[0.228448,-27.0734,0.0962056]
32;0.625;[-0.0232345,-26.9861,-0.0131548]
33;0.592593;[-0.179007,-26.8297,0.21724]
34;0.532407;[-0.00308558,-26.9182,0.144683]
35;0.62037;[-0.0250427,-26.8777,-0.347692]
36;0.606481;[0.123532,-26.5973,0.210962]
37;0.583333;[0.0881637,-26.5742,0.547619]
38;0.597222;[-0.176032,-26.3187,0.0318677]
39;0.601852;[-0.264344,-26.4481,0.0941558]
40;0.578704;[0.107913,-26.5037,0.0711923]
41;0.555556;[0.150746,-26.4623,0.145521]
42;0.513889;[0.0555012,-26.7748,-0.104675]
43;0.782407;[0.063342,-26.389,-0.038568]
44;0.0555556;[0.361217,-26.8379,-0.600473]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
