Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.356481;[-0.294156,-278.702,-0.197862]
5;0.555556;[-0.156941,-278.745,-0.293642]
6;0.597222;[-0.0673706,-278.742,-0.0466435]
7;0.592593;[-0.178181,-278.575,-0.0574115]
8;0.550926;[-0.06805,-278.457,-0.188498]
9;0.583333;[0.223415,-278.452,0.172273]
10;0.601852;[0.332625,-278.914,0.0727149]
11;0.583333;[0.116651,-278.599,-0.160058]
12;0.555556;[-0.0656635,-278.997,-0.19744]
13;0.615741;[0.128778,-278.763,0.0617353]
14;0.569444;[0.223133,-278.792,0.185642]
15;0.597222;[0.206941,-278.97,-0.352864]
16;0.583333;[-0.117205,-278.76,-0.436143]
17;0.587963;[-0.176299,-279.03,-0.0994258]
18;0.574074;[-0.377352,-278.506,-0.0569694]
19;0.546296;[0.10232,-278.859,0.0241145]
20;0.601852;[0.315083,-278.763,-0.0432121]
21;0.601852;[0.307354,-278.525,0.052995]
22;0.550926;[0.0756448,-278.609,-0.249029]
23;0.527778;[0.362232,-278.887,0.217173]
24;0.625;[-0.0489588,-278.902,-0.0115354]
25;0.569444;[-0.149598,-278.538,-0.0905404]
26;0.541667;[0.241359,-279.166,0.122409]
27;0.592593;[0.0878093,-278.995,-0.402904]
28;0.634259;[-0.0914093,-278.874,0.161905]
29;0.509259;[0.225122,-278.849,-0.156903]
30;0.657407;[-0.156698,-278.676,0.21303]
31;0.541667;[0.151455,-278.96,0.201117]
32;0.597222;[0.142929,-278.698,0.196564]
33;0.574074;[-0.161872,-278.821,0.193982]
34;0.578704;[0.159413,-279.016,-0.065969]
35;0.592593;[0.148694,-278.826,-0.447742]
36;0.564815;[0.260159,-278.773,-0.0342206]
37;0.564815;[0.399769,-278.962,-0.116854]
38;0.541667;[-0.122209,-278.718,0.0486508]
39;0.592593;[0.118352,-278.673,-0.167078]
40;0.527778;[-0.24742,-278.932,0.110292]
41;0.634259;[-0.0818204,-278.631,0.20709]
42;0.532407;[-0.241357,-278.482,-0.223797]
43;0.791667;[0.134455,-278.458,0.182081]
44;0.0509259;[0.20387,-278.64,-0.707802]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
