Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.333333;[0.316502,-138.734,-0.153778]
5;0.685185;[0.164043,-138.776,0.122453]
6;0.537037;[-0.0223322,-138.743,-0.0147301]
7;0.62963;[0.215763,-138.937,0.222877]
8;0.564815;[-0.582424,-138.657,0.0786512]
9;0.62963;[0.0187733,-138.788,-0.058671]
10;0.555556;[-0.225117,-138.766,0.0770195]
11;0.606481;[-0.066657,-138.455,0.273491]
12;0.550926;[-0.127018,-138.834,0.122459]
13;0.606481;[0.0410224,-138.813,0.1249]
14;0.564815;[-0.348557,-138.708,0.284253]
15;0.597222;[0.0103274,-138.578,-0.243333]
16;0.555556;[-0.0847069,-138.58,0.121633]
17;0.597222;[0.0187906,-138.742,0.258686]
18;0.5;[-0.00239404,-138.829,0.168498]
19;0.592593;[-0.141334,-138.387,-0.0283874]
20;0.527778;[0.0677707,-138.774,-0.181072]
21;0.513889;[0.0637676,-138.907,-0.00944641]
22;0.597222;[-0.0514093,-138.738,0.0102478]
23;0.583333;[0.0791358,-138.839,-0.252202]
24;0.578704;[-0.286006,-138.991,-0.227474]
25;0.569444;[-0.150836,-138.672,-0.130522]
26;0.560185;[0.263894,-138.995,0.0338773]
27;0.62037;[-0.0253891,-138.584,0.103222]
28;0.564815;[-0.0655672,-138.855,0.00256183]
29;0.583333;[0.162797,-138.828,-0.0484587]
30;0.555556;[-0.0248834,-138.726,0.0437022]
31;0.657407;[0.164536,-138.563,-0.0600144]
32;0.546296;[-0.0722273,-138.826,-0.278952]
33;0.587963;[0.247216,-138.674,0.209339]
34;0.597222;[-0.00693427,-138.846,-0.266076]
35;0.574074;[0.0300427,-138.719,0.0424263]
36;0.541667;[0.0142681,-138.843,0.195091]
37;0.574074;[-0.127521,-138.719,-0.143463]
38;0.634259;[0.00545432,-138.779,-0.419128]
39;0.527778;[0.0364416,-138.72,0.114494]
40;0.587963;[-0.0153784,-138.749,-0.0136051]
41;0.587963;[0.174972,-138.93,0.133087]
42;0.601852;[0.164835,-139.233,-0.291203]
43;0.689815;[0.184004,-138.387,-0.191923]
44;0.0787037;[0.400547,-138.224,0.0576327]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
