Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.208333;[0.924129,-44.035,1.22541]
5;0.416667;[0.278416,-43.0671,-0.831115]
6;0.351852;[0.553597,-45.1336,0.384468]
7;0.328704;[0.932813,-44.5302,1.20975]
8;0.37037;[0.461263,-45.3954,1.51911]
9;0.416667;[0.559572,-46.1315,-1.70262]
10;0.384259;[-1.68961,-44.1879,-1.16404]
11;0.384259;[-0.612778,-44.6475,0.230849]
12;0.421296;[1.37936,-45.7252,0.26701]
13;0.388889;[0.42285,-43.8928,-0.222074]
14;0.421296;[-0.79735,-45.4848,-0.466903]
15;0.402778;[0.0169129,-43.9702,0.0335164]
16;0.467593;[0.109306,-45.7441,1.11114]
17;0.481481;[0.31373,-45.9291,0.31677]
18;0.407407;[-0.538435,-46.1508,-0.324963]
19;0.430556;[-0.205645,-45.429,-0.234763]
20;0.476852;[0.482419,-45.5964,-0.421094]
21;0.407407;[-0.0591492,-45.2758,-0.685211]
22;0.476852;[0.34585,-46.4568,0.137006]
23;0.458333;[0.265078,-45.94,0.283095]
24;0.430556;[0.409519,-46.3345,1.07763]
25;0.467593;[-0.321774,-44.8639,-0.274959]
26;0.449074;[-0.126635,-45.6281,0.024727]
27;0.407407;[-0.473095,-45.951,1.07525]
28;0.407407;[0.654913,-45.8638,-0.160002]
29;0.481481;[0.476358,-45.0694,-0.531257]
30;0.398148;[0.0891876,-45.313,-0.384157]
31;0.435185;[-1.13455,-44.8393,-0.175249]
32;0.398148;[-0.820257,-45.0871,0.772231]
33;0.384259;[0.928647,-45.0598,-0.573094]
34;0.425926;[-0.00883652,-45.1416,0.348275]
35;0.402778;[-0.83394,-45.1683,-0.495598]
36;0.425926;[-0.28919,-43.6691,0.152582]
37;0.402778;[0.211641,-44.5175,0.0789453]
38;0.416667;[-0.803106,-44.0153,0.449689]
39;0.324074;[-0.566852,-45.1525,-0.19112]
40;0.398148;[0.547216,-44.8914,1.05093]
41;0.319444;[0.319295,-44.5643,-0.38574]
42;0.375;[0.394239,-42.7287,0.428336]
43;0.407407;[0.364239,-43.4451,-0.0974954]
44;0.0138889;[-0.658479,-37.5457,-2.93848]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
