Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.217593;[-0.0889986,-182.072,0.350412]
5;0.444444;[0.197229,-182.797,-0.172691]
6;0.351852;[-0.545822,-183.879,0.0707462]
7;0.407407;[0.733777,-182.682,0.261448]
8;0.444444;[0.252515,-182.492,-0.699353]
9;0.328704;[0.498837,-183.037,0.498026]
10;0.439815;[-0.593076,-184.156,0.301693]
11;0.402778;[-0.185236,-183.148,0.0728842]
12;0.407407;[0.420909,-183.6,1.21361]
13;0.356481;[1.34963,-182.737,0.0647272]
14;0.416667;[0.396542,-183.036,-0.109398]
15;0.416667;[-0.0236157,-184.038,0.422947]
16;0.444444;[-0.479012,-182.692,0.84104]
17;0.375;[-0.174316,-183.223,0.692821]
18;0.421296;[-0.815282,-183.216,0.10503]
19;0.412037;[0.941662,-182.407,-0.702845]
20;0.416667;[-0.60428,-181.878,-0.737431]
21;0.356481;[0.480488,-182.992,1.20326]
22;0.425926;[-0.555882,-183.286,0.822682]
23;0.402778;[0.303733,-182.436,-0.33387]
24;0.407407;[0.384529,-184.494,1.2156]
25;0.458333;[-0.023013,-183.123,-0.194736]
26;0.467593;[0.0573935,-184.06,-0.534153]
27;0.444444;[-0.196728,-182.756,0.0117269]
28;0.462963;[0.600045,-184.094,0.731826]
29;0.351852;[-0.563851,-183.412,-0.549788]
30;0.412037;[0.1326,-183.442,-0.780189]
31;0.402778;[0.893508,-182.533,-0.0938476]
32;0.509259;[-0.0398882,-183.034,0.777856]
33;0.384259;[0.814309,-182.68,-0.398441]
34;0.402778;[-0.303472,-183.768,-1.08697]
35;0.365741;[-0.506467,-182.924,0.104323]
36;0.416667;[-0.273896,-181.292,-1.54607]
37;0.402778;[0.284636,-181.595,0.833305]
38;0.435185;[-0.278954,-183.693,0.629317]
39;0.342593;[-0.428604,-183.306,0.275827]
40;0.425926;[0.680323,-183.53,-0.888676]
41;0.365741;[1.03112,-182.765,-0.617473]
42;0.37963;[1.06649,-184.039,0.52578]
43;0.523148;[0.85928,-183.297,-0.0422428]
44;0.0231481;[-1.72337,-183.626,3.34302]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
