Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.180556;[-1.37511,-134.814,-0.245]
5;0.444444;[0.0950882,-135.978,-0.604142]
6;0.444444;[-0.434632,-135.243,0.0412684]
7;0.407407;[-1.17944,-135.416,0.276913]
8;0.375;[0.764974,-135.812,-0.479174]
9;0.407407;[0.572039,-135.186,0.172081]
10;0.37037;[-0.185572,-136.316,0.442909]
11;0.458333;[-0.0336504,-134.418,0.065374]
12;0.449074;[0.477263,-135.389,-0.0686898]
13;0.393519;[0.422302,-134.752,0.596973]
14;0.416667;[0.825709,-135.398,0.627039]
15;0.425926;[0.134163,-135.366,0.174035]
16;0.453704;[0.211967,-135.696,0.00997757]
17;0.435185;[0.421022,-134.922,0.360737]
18;0.342593;[-0.757345,-134.726,0.428668]
19;0.449074;[-0.565321,-134.212,0.617502]
20;0.351852;[0.224,-134.628,0.0147354]
21;0.458333;[0.634227,-135.276,0.0967971]
22;0.407407;[0.403277,-135.361,0.129288]
23;0.430556;[1.32811,-134.252,0.0802962]
24;0.453704;[0.767212,-135.316,0.00293941]
25;0.351852;[-0.185008,-134.599,-0.354326]
26;0.361111;[0.151412,-134.609,-1.6755]
27;0.472222;[1.02108,-134.958,0.855864]
28;0.393519;[0.317094,-136.552,0.166633]
29;0.351852;[-0.33308,-134.199,0.655451]
30;0.425926;[-0.0120774,-134.683,0.407304]
31;0.425926;[-0.71894,-135.448,-0.413058]
32;0.37963;[-0.483723,-134.165,-0.164332]
33;0.407407;[0.052382,-135.323,1.38983]
34;0.365741;[0.850028,-134.202,-0.0809302]
35;0.449074;[1.4818,-135.211,0.805866]
36;0.398148;[-0.291648,-135.275,0.832841]
37;0.425926;[0.308182,-135.402,0.156722]
38;0.384259;[-0.555887,-134.791,-0.238769]
39;0.476852;[0.22818,-134.208,0.236919]
40;0.37037;[0.126225,-134.842,-0.0807058]
41;0.314815;[0.59722,-134.525,0.7358]
42;0.398148;[0.968789,-135.564,-0.138509]
43;0.523148;[-0.650682,-134.881,0.494322]
44;0.0416667;[-0.89251,-137.779,-0.274333]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
