Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.189815;[0.801061,-82.4605,-0.158517]
5;0.462963;[1.00012,-82.8686,-1.09358]
6;0.421296;[1.17268,-83.8872,0.0933028]
7;0.430556;[0.243826,-83.4905,0.232698]
8;0.393519;[0.400029,-83.9086,-0.607426]
9;0.375;[1.01939,-82.595,-0.423511]
10;0.393519;[1.53904,-83.5348,0.574505]
11;0.407407;[0.135528,-82.768,1.15398]
12;0.388889;[0.380634,-83.0389,0.833935]
13;0.453704;[0.133882,-82.8159,-0.588449]
14;0.37963;[0.573599,-82.974,-0.295557]
15;0.490741;[0.26356,-83.2188,-0.0804983]
16;0.421296;[1.69227,-83.3462,-1.13038]
17;0.365741;[-0.326473,-82.5418,0.112953]
18;0.416667;[-0.440642,-83.2301,0.315794]
19;0.453704;[1.08058,-82.7526,0.737961]
20;0.407407;[-0.333494,-84.3505,-0.71657]
21;0.393519;[-0.556819,-82.9027,0.860633]
22;0.412037;[0.463445,-84.0362,-0.708442]
23;0.356481;[0.564689,-82.5495,-1.0403]
24;0.351852;[0.00588455,-83.6752,0.360207]
25;0.37963;[-1.37958,-83.5977,-0.266689]
26;0.476852;[-0.19901,-83.1579,-0.0402501]
27;0.375;[0.836692,-83.5068,0.266707]
28;0.421296;[0.263926,-83.0641,-0.467236]
29;0.481481;[-0.242372,-82.7656,-0.730133]
30;0.388889;[0.39226,-83.7104,-0.185574]
31;0.476852;[0.140287,-82.77,-0.639535]
32;0.453704;[-0.168073,-82.7413,0.45595]
33;0.393519;[-0.697196,-82.7065,0.744969]
34;0.412037;[0.845017,-83.4265,-0.00847602]
35;0.37963;[-1.02709,-83.3578,-0.682599]
36;0.444444;[-0.528934,-82.6705,0.331245]
37;0.375;[1.2886,-83.4163,-1.25661]
38;0.425926;[-0.929055,-82.6187,0.125112]
39;0.388889;[-1.14902,-83.2909,-0.731276]
40;0.430556;[0.859007,-83.1616,-1.08301]
41;0.356481;[0.665838,-82.2879,0.279205]
42;0.333333;[0.0332582,-82.3011,-0.0366606]
43;0.49537;[-1.30884,-82.9652,-0.341383]
44;0.0185185;[-1.26897,-79.5298,1.43344]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
