Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.291667;[0.915874,-35.9614,-0.208732]
5;0.587963;[0.761818,-37.5044,0.249011]
6;0.634259;[-0.488301,-37.8597,0.282366]
7;0.587963;[0.280347,-37.541,-0.0661554]
8;0.625;[0.814274,-38.8021,0.298923]
9;0.532407;[0.206874,-38.0741,0.139002]
10;0.601852;[1.29504,-38.9002,0.254189]
11;0.666667;[0.856259,-39.2375,0.582588]
12;0.592593;[-0.399371,-39.656,-0.753063]
13;0.638889;[-0.315183,-39.6014,-0.311041]
14;0.615741;[0.106261,-40.3325,0.349068]
15;0.657407;[0.0889091,-39.4829,-0.449849]
16;0.680556;[0.0898469,-40.4181,0.165855]
17;0.662037;[-0.205317,-39.6038,-0.886799]
18;0.74537;[0.0728034,-40.6204,0.356572]
19;0.675926;[0.298593,-40.2142,0.0436466]
20;0.685185;[-0.268541,-40.5868,-0.124044]
21;0.680556;[-0.337082,-40.6663,0.601855]
22;0.736111;[-0.0210903,-40.1359,-0.310661]
23;0.643519;[-0.632818,-39.5488,-0.0831816]
24;0.731481;[0.529573,-39.8375,-0.174762]
25;0.625;[-0.096344,-39.1109,0.0395897]
26;0.62037;[0.541845,-38.6035,0.0387937]
27;0.62963;[0.486875,-38.5754,-0.153252]
28;0.652778;[-0.300149,-38.5875,0.387741]
29;0.555556;[-0.109141,-37.9017,-0.506323]
30;0.578704;[0.239562,-37.9345,0.171517]
31;0.574074;[-0.0729965,-37.1182,0.640997]
32;0.587963;[0.205666,-36.9556,-0.492153]
33;0.513889;[-0.0911793,-36.2554,0.0858187]
34;0.513889;[-0.227988,-35.0063,-0.0764169]
35;0.49537;[0.0589845,-34.391,1.07143]
36;0.476852;[-0.316707,-34.4201,0.909428]
37;0.458333;[-0.165208,-33.1541,-0.254323]
38;0.467593;[0.785229,-32.6176,-0.631584]
39;0.402778;[-1.05431,-29.543,-0.265446]
40;0.402778;[1.11389,-31.8174,-0.800061]
41;0.393519;[-0.851198,-30.0247,-1.91291]
42;0.421296;[-0.422121,-29.7968,-0.305232]
43;0.476852;[1.23078,-28.7502,-0.199606]
44;0.0277778;[-1.01001,-29.0459,-5.18875]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
