Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.314815;[0.399844,-74.5156,0.785242]
5;0.592593;[-0.554017,-74.8336,0.79135]
6;0.523148;[0.724487,-74.8096,1.01066]
7;0.518519;[-0.754374,-75.3697,1.24893]
8;0.537037;[-0.692369,-76.8335,-0.506199]
9;0.523148;[0.465024,-75.2223,0.356716]
10;0.564815;[-0.349072,-75.0293,-0.0445769]
11;0.541667;[-0.342766,-75.5298,-0.824927]
12;0.541667;[-0.301987,-75.6042,-0.389817]
13;0.601852;[0.136694,-75.6025,0.468376]
14;0.583333;[-0.380504,-76.4483,-0.311422]
15;0.615741;[0.161395,-75.8516,0.415722]
16;0.62037;[0.172196,-76.4136,-0.100185]
17;0.606481;[-0.902309,-76.4735,-1.14841]
18;0.62963;[-0.634672,-77.3628,0.237582]
19;0.62037;[-0.775875,-76.5169,0.713158]
20;0.606481;[0.0733063,-77.6247,0.384125]
21;0.532407;[-0.0695249,-76.8814,-0.324556]
22;0.694444;[-0.589026,-76.6873,-0.25054]
23;0.555556;[0.817428,-76.9527,-0.476102]
24;0.648148;[-0.505982,-77.233,-0.606578]
25;0.62037;[-0.940966,-77.8597,-1.57966]
26;0.601852;[-0.850515,-77.1583,-0.0398003]
27;0.726852;[0.272713,-77.8307,0.881865]
28;0.643519;[-0.0267294,-77.1445,0.293164]
29;0.611111;[-0.421527,-76.5624,0.391877]
30;0.666667;[-0.298954,-76.5522,0.495875]
31;0.560185;[-0.253513,-77.0418,0.377093]
32;0.587963;[0.529486,-76.8835,-0.203804]
33;0.671296;[-0.519093,-76.2107,-0.968845]
34;0.546296;[-0.485086,-75.1835,0.370742]
35;0.560185;[0.241364,-75.4408,0.566305]
36;0.574074;[-0.308084,-75.6655,-0.00892713]
37;0.574074;[-0.282213,-75.3709,-0.957969]
38;0.546296;[-0.579216,-74.773,0.578225]
39;0.523148;[-1.17988,-74.1481,0.453024]
40;0.490741;[0.154263,-74.9766,0.575838]
41;0.5;[1.1344,-74.4686,0.254873]
42;0.513889;[0.124296,-74.4875,0.442388]
43;0.606481;[-0.456189,-74.6584,-1.05053]
44;0.0509259;[-2.80399,-71.5074,0.537897]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
