Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.324074;[-0.900208,-1595.81,-0.605481]
5;0.671296;[0.134718,-1595.86,-0.368787]
6;0.578704;[-0.590306,-1596.35,0.252029]
7;0.587963;[0.450677,-1596.41,0.100026]
8;0.597222;[-0.0331196,-1595.77,0.271755]
9;0.611111;[0.767512,-1596.27,-0.474573]
10;0.592593;[-0.227631,-1595.92,-0.817653]
11;0.592593;[0.0462997,-1595.84,-0.350201]
12;0.550926;[-0.52558,-1595.85,-1.1002]
13;0.527778;[0.0703817,-1595.53,-0.413861]
14;0.574074;[0.490796,-1596.06,-0.365717]
15;0.615741;[-0.295877,-1596.4,-0.226366]
16;0.5;[-0.204656,-1595.35,-0.891355]
17;0.560185;[-0.0887364,-1596.27,-0.185678]
18;0.615741;[-0.463721,-1596,-0.0138101]
19;0.486111;[0.286484,-1595.37,1.99426]
20;0.611111;[0.511817,-1596.23,0.0459361]
21;0.648148;[-0.0467002,-1595.65,0.459235]
22;0.486111;[0.123459,-1596.47,0.665098]
23;0.578704;[0.180587,-1596.12,-0.100356]
24;0.597222;[1.29835,-1595.54,-0.234712]
25;0.606481;[-0.204281,-1596.88,-0.311141]
26;0.550926;[0.872327,-1596.54,-0.715839]
27;0.574074;[0.431218,-1596.94,0.105536]
28;0.625;[1.04892,-1597,-0.222466]
29;0.541667;[-1.0612,-1596.26,0.142082]
30;0.555556;[0.398419,-1596.63,-0.132787]
31;0.643519;[-0.385721,-1596.44,-0.733095]
32;0.601852;[0.189375,-1596.54,-0.116782]
33;0.532407;[-0.0193365,-1595.95,-0.379447]
34;0.592593;[-0.386589,-1596.77,-0.219698]
35;0.592593;[-0.120853,-1596.35,-0.158133]
36;0.537037;[0.787267,-1596.72,-0.495659]
37;0.546296;[-0.403651,-1596.66,1.15446]
38;0.634259;[-0.0481388,-1595.6,-0.609717]
39;0.578704;[-0.806926,-1596.73,-0.780489]
40;0.550926;[0.909741,-1596.26,0.564158]
41;0.643519;[0.672084,-1595.42,0.672817]
42;0.578704;[0.146378,-1596.06,-0.177163]
43;0.699074;[0.299528,-1595.71,-0.74858]
44;0.0555556;[-2.33996,-1596.14,0.316611]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
