Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.203704;[-1.5163,-4.09279,0.616876]
5;0.388889;[0.704086,-2.5504,-0.8967]
6;0.342593;[-0.180942,-4.2971,0.343173]
7;0.361111;[-1.6055,-4.03565,0.6313]
8;0.416667;[0.0518791,-4.3659,0.131436]
9;0.37037;[0.0985953,-3.90383,0.657242]
10;0.356481;[0.193383,-4.04008,0.444321]
11;0.425926;[-0.0226471,-2.32019,-0.568461]
12;0.37963;[0.302494,-4.48657,0.413645]
13;0.356481;[-0.879263,-3.11679,0.116822]
14;0.384259;[-0.645279,-4.53163,-0.321265]
15;0.37963;[0.618492,-3.33862,0.103221]
16;0.430556;[-0.766515,-3.11341,0.217529]
17;0.296296;[-0.100488,-2.5016,0.479783]
18;0.476852;[-0.203547,-2.41704,0.205652]
19;0.365741;[-1.0149,-3.20353,0.081362]
20;0.49537;[-0.290009,-1.30915,-0.607373]
21;0.564815;[-0.0390018,-1.15275,0.216536]
22;0.328704;[1.41073,-3.49763,-0.538847]
23;0.62963;[-0.314215,-1.18422,0.293111]
24;0.291667;[-0.155629,-1.37192,-0.0742063]
25;0.666667;[-0.450607,-1.18906,-0.0791054]
26;0.597222;[0.268492,-0.774219,0.0638504]
27;0.296296;[0.291553,-1.94546,-0.397232]
28;0.662037;[0.138013,-1.42703,-0.542385]
29;0.305556;[-0.0775101,-2.54642,-0.96557]
30;0.518519;[0.380819,-1.0044,-0.133011]
31;0.5;[-0.51685,-1.343,-0.804647]
32;0.342593;[0.243121,-2.24523,-1.29565]
33;0.333333;[0.0214566,-2.43585,0.311014]
34;0.342593;[0.598576,-2.76084,1.12702]
35;0.342593;[-0.574671,-3.03079,-0.972127]
36;0.384259;[-0.200473,-4.03381,-0.314938]
37;0.351852;[0.695319,-2.54407,0.447433]
38;0.351852;[-0.269563,-3.39713,0.660922]
39;0.407407;[0.0667495,-2.99243,0.477507]
40;0.37963;[0.338117,-3.18755,-0.501031]
41;0.365741;[-1.30114,-3.55689,-0.575274]
42;0.337963;[0.890358,-3.53932,0.39534]
43;0.50463;[-0.171556,-1.5607,0.264803]
44;0.037037;[-1.55081,-1.25513,-0.912634]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
