Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.231481;[1.49722,-1.86961,0.453868]
5;0.412037;[0.410102,-2.55082,0.311228]
6;0.333333;[-0.213852,-3.75197,-1.5685]
7;0.324074;[0.315853,-2.94481,-0.365589]
8;0.351852;[-1.1425,-4.09778,1.22489]
9;0.388889;[-0.707833,-3.47866,0.0578485]
10;0.402778;[-0.407278,-4.53572,-0.0239767]
11;0.324074;[0.643327,-4.24302,1.30654]
12;0.361111;[-0.186446,-3.73169,0.128735]
13;0.328704;[0.255393,-3.95528,-0.0667722]
14;0.398148;[-0.328143,-4.85519,-0.0508866]
15;0.365741;[-0.62294,-2.56717,-0.269737]
16;0.388889;[-1.04192,-3.60649,-0.110567]
17;0.351852;[-0.145445,-3.28197,0.0788569]
18;0.5;[0.161971,-1.40825,0.155747]
19;0.314815;[0.99516,-2.30875,0.631078]
20;0.578704;[-0.693514,-1.23232,0.890409]
21;0.564815;[-0.759571,-0.684236,-0.41852]
22;0.328704;[0.59336,-2.77633,0.0202315]
23;0.611111;[0.134175,-0.304806,0.376567]
24;0.305556;[0.253703,-0.886401,0.828521]
25;0.625;[0.383537,-1.07809,-0.5759]
26;0.611111;[-0.128426,-1.08898,-0.245087]
27;0.273148;[0.462348,-2.03052,2.06222]
28;0.638889;[0.228168,-0.601547,-0.260466]
29;0.314815;[0.204813,-1.02184,-1.25818]
30;0.509259;[-0.456328,-1.15118,-0.262492]
31;0.462963;[0.242318,-1.48872,-0.190367]
32;0.356481;[-0.58255,-2.51273,-0.290847]
33;0.328704;[-0.278692,-2.77801,0.224305]
34;0.375;[-0.807319,-4.59575,-0.684669]
35;0.402778;[-0.0486573,-4.14687,-0.034232]
36;0.402778;[-0.436258,-3.29411,-0.773544]
37;0.439815;[1.11339,-3.19811,-0.229758]
38;0.384259;[-0.509623,-3.75784,-0.038535]
39;0.407407;[0.640995,-3.20696,-0.43764]
40;0.324074;[1.30581,-2.7071,-0.0229007]
41;0.430556;[-0.315038,-2.7151,-0.0686478]
42;0.361111;[0.112051,-2.86295,0.186463]
43;0.416667;[0.587554,-2.80536,-1.05165]
44;0.0416667;[-2.40355,-2.52923,-1.39097]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
