Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.166667;[0.926108,-9.29443,0.624195]
5;0.342593;[-1.76187,-10.9795,-0.672167]
6;0.393519;[0.600964,-12.0441,0.779562]
7;0.351852;[0.906871,-13.1324,1.17326]
8;0.398148;[0.538349,-13.6149,-1.83131]
9;0.37037;[1.10619,-12.7145,0.0957358]
10;0.356481;[-0.735568,-16.1262,0.190026]
11;0.462963;[-0.797338,-15.2602,-0.39171]
12;0.430556;[0.589465,-16.0503,-0.23494]
13;0.384259;[0.408747,-16.6711,-0.293911]
14;0.342593;[-0.811762,-16.0567,0.0134806]
15;0.416667;[0.0115927,-16.5821,-0.391803]
16;0.481481;[0.57334,-17.3027,0.311944]
17;0.435185;[-1.41481,-18.594,-0.412999]
18;0.421296;[-0.30499,-19.0277,-0.0810587]
19;0.481481;[-1.47838,-18.2971,0.0771037]
20;0.375;[0.283327,-18.3791,1.46862]
21;0.481481;[1.29023,-20.0359,-0.548575]
22;0.449074;[0.2812,-19.5348,-0.133389]
23;0.532407;[0.148072,-19.0369,-0.257764]
24;0.402778;[0.311412,-18.9564,0.266502]
25;0.481481;[-0.470912,-20.9099,0.10055]
26;0.50463;[0.0723981,-19.2144,-0.258964]
27;0.435185;[-0.100433,-19.1307,-0.536171]
28;0.439815;[0.615977,-18.6233,0.32992]
29;0.467593;[0.49223,-19.2275,0.881284]
30;0.384259;[0.354437,-18.388,-0.846064]
31;0.416667;[-0.240684,-17.856,-0.0381929]
32;0.393519;[0.0306812,-17.945,0.399372]
33;0.449074;[-0.818619,-17.0723,0.648042]
34;0.416667;[-0.51818,-16.8265,-0.392923]
35;0.439815;[-0.776932,-15.7934,0.0809789]
36;0.365741;[0.965715,-15.2306,-1.08385]
37;0.435185;[1.0606,-13.7407,0.688093]
38;0.365741;[-0.277208,-14.5219,-1.16303]
39;0.375;[1.59063,-14.7562,0.0533204]
40;0.351852;[-1.10476,-12.5987,0.678854]
41;0.375;[1.64602,-11.997,-0.0546504]
42;0.333333;[-0.157691,-11.6736,1.0551]
43;0.333333;[-0.955777,-9.88113,0.516822]
44;0.0324074;[-1.25377,-10.2432,0.890874]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
