Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.125;[-0.7761,-18.5587,-4.89724]
5;0.356481;[0.46096,-20.5406,-0.328763]
6;0.319444;[1.06299,-18.2528,0.365737]
7;0.282407;[-0.246969,-18.4706,0.938949]
8;0.333333;[0.177541,-19.9319,-0.247417]
9;0.305556;[0.0295209,-20.2963,-0.530962]
10;0.365741;[0.129107,-20.403,0.003807]
11;0.365741;[-1.83355,-21.5079,0.638439]
12;0.407407;[0.228729,-20.3327,0.0150565]
13;0.412037;[0.760732,-22.2265,0.19763]
14;0.393519;[0.502498,-23.8043,-0.507837]
15;0.412037;[0.340992,-23.2396,0.298211]
16;0.407407;[0.153603,-23.6953,-0.362669]
17;0.453704;[-0.288552,-25.0808,-0.959383]
18;0.458333;[0.33591,-24.0833,0.192283]
19;0.435185;[0.638746,-25.3952,-0.637171]
20;0.467593;[0.589785,-24.0936,0.323142]
21;0.458333;[1.0326,-25.7798,0.299451]
22;0.513889;[0.563634,-25.7208,-0.2678]
23;0.476852;[0.331899,-26.063,0.129941]
24;0.518519;[-0.0868676,-26.7131,1.0162]
25;0.486111;[0.0939848,-25.4983,-0.193477]
26;0.537037;[0.522283,-25.7492,0.0756635]
27;0.5;[0.114978,-25.4822,-0.182728]
28;0.458333;[0.44201,-25.2831,-0.639663]
29;0.486111;[-0.0656306,-25.1631,-0.0255055]
30;0.5;[-0.0210957,-25.8068,0.701724]
31;0.361111;[-0.0859265,-26.322,-1.17263]
32;0.444444;[-0.335276,-24.442,1.21552]
33;0.407407;[0.710992,-22.535,-0.163399]
34;0.453704;[0.270352,-22.9531,0.194676]
35;0.425926;[-0.185373,-23.1137,-0.145766]
36;0.37963;[0.911617,-21.4886,0.74633]
37;0.375;[-0.746652,-21.6115,-0.133386]
38;0.472222;[-0.516269,-22.046,0.526328]
39;0.319444;[-1.65694,-20.1424,-1.01674]
40;0.305556;[0.982864,-19.1471,-0.537167]
41;0.337963;[-0.950404,-17.4226,0.193747]
42;0.347222;[-0.0249478,-19.3473,-0.968352]
43;0.351852;[1.6026,-16.2667,0.32741]
44;0.0555556;[1.01038,-16.7854,3.18225]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
