Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.106481;[-0.495433,-9.91523,-0.477062]
5;0.37963;[-0.0344632,-10.6538,0.0276904]
6;0.287037;[0.200048,-10.1823,-0.113304]
7;0.282407;[-0.854359,-10.7083,0.488868]
8;0.351852;[0.634675,-11.4284,0.00907506]
9;0.361111;[-0.18213,-12.5531,0.0452581]
10;0.37963;[0.03264,-12.2202,0.102415]
11;0.430556;[0.568356,-12.7703,-0.022425]
12;0.398148;[0.620412,-13.5655,0.254166]
13;0.532407;[0.375729,-13.5716,-0.35963]
14;0.476852;[0.365615,-14.5587,0.231939]
15;0.555556;[0.165494,-14.2585,-0.529263]
16;0.546296;[0.779654,-14.6821,-0.0869319]
17;0.657407;[0.304906,-14.9501,0.0489758]
18;0.583333;[0.539841,-14.8686,0.0980783]
19;0.694444;[0.147188,-15.0408,-0.0594991]
20;0.675926;[0.279586,-15.3948,0.30006]
21;0.648148;[-0.0314519,-15.3912,-0.0414079]
22;0.731481;[0.328301,-15.2697,0.1691]
23;0.717593;[0.208028,-15.4554,-0.276593]
24;0.796296;[0.155054,-15.7083,0.0748284]
25;0.865741;[0.187534,-15.3567,-0.333302]
26;0.708333;[-0.040194,-15.4064,-0.0835113]
27;0.847222;[0.00600104,-15.3237,0.0972424]
28;0.773148;[0.0395043,-15.4346,-0.358446]
29;0.773148;[0.33128,-15.3695,0.1252]
30;0.763889;[0.287285,-15.3876,-0.105377]
31;0.791667;[0.0353359,-15.2326,0.129905]
32;0.777778;[0.227024,-15.0095,0.0664282]
33;0.717593;[0.292612,-14.8338,0.58809]
34;0.689815;[0.10806,-14.8632,0.0317566]
35;0.685185;[-0.127411,-14.6138,0.162174]
36;0.583333;[0.135959,-14.6279,0.263927]
37;0.643519;[0.360742,-13.9484,0.198531]
38;0.509259;[0.0439099,-13.6423,-0.29027]
39;0.555556;[0.422729,-13.9351,0.276081]
40;0.472222;[0.0342513,-11.7568,0.0332797]
41;0.444444;[0.527887,-12.0813,-0.35183]
42;0.449074;[-1.01489,-10.7609,-0.490183]
43;0.486111;[-0.134131,-11.4799,-0.0418211]
44;0.0185185;[1.23686,-9.53893,1.11295]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
