Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.12963;[0.234027,-6.2584,0.0383809]
5;0.398148;[-0.168468,-5.44063,-0.147355]
6;0.314815;[-0.0301951,-6.53635,0.595502]
7;0.337963;[0.164021,-7.49746,-0.557281]
8;0.37963;[-0.42233,-8.81226,-0.15963]
9;0.458333;[-0.19771,-9.48992,0.229904]
10;0.467593;[-0.147935,-9.98507,0.210559]
11;0.657407;[-0.616435,-10.9807,0.0141858]
12;0.597222;[-0.451559,-11.0826,0.134348]
13;0.648148;[-0.383656,-11.2565,-0.0458306]
14;0.712963;[-0.291797,-11.7155,-0.0889142]
15;0.782407;[-0.437339,-11.6481,0.121427]
16;0.787037;[-0.27421,-11.7195,-0.047478]
17;0.833333;[-0.239396,-11.8323,0.140284]
18;0.805556;[-0.293959,-11.9407,-0.137096]
19;0.824074;[-0.231241,-11.78,-0.0365588]
20;0.861111;[-0.233689,-11.8511,0.152827]
21;0.782407;[-0.274086,-11.8416,-0.13521]
22;0.87963;[-0.177768,-11.9115,-0.134181]
23;0.833333;[-0.0658792,-11.7466,0.169327]
24;0.782407;[-0.0814071,-11.7306,0.0963965]
25;0.824074;[-0.326332,-11.831,0.00558463]
26;0.773148;[-0.198095,-11.7995,-0.0497253]
27;0.731481;[-0.288874,-11.6136,0.010458]
28;0.787037;[-0.23941,-11.7648,-0.020671]
29;0.717593;[0.0848661,-11.5595,-0.0361911]
30;0.666667;[-0.10423,-11.4393,-0.0972632]
31;0.648148;[-0.181974,-11.305,0.222627]
32;0.532407;[-0.100225,-11.3213,-0.151248]
33;0.546296;[-0.119034,-10.8616,0.185752]
34;0.555556;[0.0468223,-10.6382,-0.00484099]
35;0.421296;[-0.184941,-10.6516,0.03409]
36;0.421296;[-0.350228,-9.82171,-0.168541]
37;0.416667;[-0.302113,-10.0376,0.0251134]
38;0.393519;[0.186077,-9.17914,-0.0747551]
39;0.300926;[-0.285269,-8.79092,0.088531]
40;0.319444;[0.225973,-8.68224,-0.178802]
41;0.240741;[0.395554,-8.4701,0.26171]
42;0.199074;[-0.161933,-7.77678,0.376237]
43;0.375;[-0.283882,-7.06433,0.315347]
44;0.00462963;[-1.78922,-6.13169,4.07909]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
